1.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
1.A.1.	Components made from fluorinated compounds, as follows:
1.A.1.a.	Seals, gaskets, sealants or fuel bladders, specially designed for "aircraft" or aerospace use, made from more than 50 % by weight of any of the materials specified by 1.C.9.b. or 1.C.9.c.;
1.A.1.b.	Not used since 2015
1.A.1.c.	Not used since 2015
1.A.2.	"Composite" structures or laminates, as follows:
1.A.2.a.	Made from any of the following:
1.A.2.a.1.	An organic "matrix" and "fibrous or filamentary materials" specified by 1.C.10.c. or 1.C.10.d.; or
1.A.2.a.2.	Prepregs or preforms specified by 1.C.10.e.;
1.A.2.b.	Made from a metal or carbon "matrix", and any of the following:
1.A.2.b.1.	Carbon "fibrous or filamentary materials" having all of the following: 
1.A.2.b.1.a.	A "specific modulus" exceeding 10.15 x 106 m; and
1.A.2.b.1.b.	A "specific tensile strength" exceeding 17.7 x 104 m; or
1.A.2.b.2.	Materials specified by 1.C.10.c.
1.A.2.Note 1.	1.A.2. does not apply to "composite" structures or laminates, made from epoxy resin impregnated carbon "fibrous or filamentary materials", for the repair of "civil aircraft" structures or laminates, having all of the following:
1.A.2.Note 1.a.	An area not exceeding 1 m2;
1.A.2.Note 1.b.	A length not exceeding 2.5 m; and
1.A.2.Note 1.c.	A width exceeding 15 mm.
1.A.2.Note 2.	1.A.2. does not apply to semi-finished items, specially designed for purely civilian applications as follows:
1.A.2.Note 2.a.	Sporting goods;
1.A.2.Note 2.b.	Automotive industry; 
1.A.2.Note 2.c.	Machine tool industry;
1.A.2.Note 2.d.	Medical applications.
1.A.2.b.1.Note 3.	1.A.2.b.1. does not apply to semi-finished items containing a maximum of two dimensions of interwoven filaments and specially designed for applications as follows:
1.A.2.b.1.Note 3.a.	Metal heat-treatment furnaces for tempering metals;
1.A.2.b.1.Note 3.b.	Silicon boule production equipment.
1.A.2.Note 4.	1.A.2. does not apply to finished items specially designed for a specific application.
1.A.3.	Manufactures of non-"fusible" aromatic polyimides in film, sheet, tape or ribbon form having any of the following:
1.A.3.a.	A thickness exceeding 0.254 mm; or
1.A.3.b.	Coated or laminated with carbon, graphite, metals or magnetic substances.
1.A.3.Note.	1.A.3. does not apply to manufactures when coated or laminated with copper and designed for the production of electronic printed circuit boards.
1.A.3.N.B.	For "fusible" aromatic polyimides in any form, see 1.C.8.a.3.
1.A.4.	Protective and detection equipment and components, not specially designed for military use, as follows:
1.A.4.a.	Full face masks, filter canisters and decontamination equipment therefor, designed or modified for defence against any of the following, and specially designed components therefor:
1.A.4.a.Note.	1.A.4.a. includes Powered Air Purifying Respirators (PAPR) that are designed or modified for defence against agents or materials, listed in 1.A.4.a.

1.A.4.a.Technical Notes.	For the purposes of 1.A.4.a.:
1.A.4.a.Technical Notes.1.	Full face masks are also known as gas masks.
