2.	MATERIALS PROCESSING
2.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
2.A.N.B.	For quiet running bearings, see ML9 on the Munitions List.*
2.A.1.	Anti-friction bearings and bearing systems, as follows, and components therefor:
2.A.1.Note.	2.A.1. does not apply to balls with tolerances specified by the manufacturer in accordance with ISO 3290:2001 as grade G5 (or national equivalents) or worse.
2.A.1.a.	Ball bearings and solid roller bearings, having all tolerances specified by the manufacturer in accordance with ISO 492 Tolerance Class 4 or Class 2 (or national equivalents), or better, and having both 'rings' and 'rolling elements', made from monel or beryllium;
2.A.1.a.Note	2.A.1.a. does not apply to tapered roller bearings.

2.A.1.a.Technical Notes.1.	'Ring' - annular part of a radial rolling bearing incorporating one or more raceways (ISO 5593:1997).
2.A.1.a.Technical Notes.2.	'Rolling element'- ball or roller which rolls between raceways (ISO 5593:1997).
2.A.1.b.	Not used since 2010
2.A.1.c.	Active magnetic bearing systems using any of the following:
2.A.1.c.1.	Materials with flux densities of 2.0 T or greater and yield strengths greater than 414 MPa;
2.A.1.c.2.	All-electromagnetic 3D homopolar bias designs for actuators; or
2.A.1.c.3.	High temperature (450 K (177°C) and above) position sensors.
2.B.	TEST, INSPECTION AND PRODUCTION EQUIPMENT

2.B.Technical Notes.1.	Secondary parallel contouring axes, (e.g., the w-axis on horizontal boring mills or a secondary rotary axis the centre line of which is parallel to the primary rotary axis) are not counted in the total number of contouring axes.  Rotary axes need not rotate over 360°.  A rotary axis can be driven by a linear device (e.g., a screw or a rack-and-pinion). 
2.B.Technical Notes.2.	For the purposes of 2.B., the number of axes which can be co-ordinated simultaneously for "contouring control" is the number of axes along or around which, during processing of the workpiece, simultaneous and interrelated motions are performed between the workpiece and a tool. This does not include any additional axes along or around which other relative motions within the machine are performed, such as:
2.B.Technical Notes.2.a.	Wheel-dressing systems in grinding machines;
2.B.Technical Notes.2.b.	Parallel rotary axes designed for mounting of separate workpieces;
2.B.Technical Notes.2.c.	Co-linear rotary axes designed for manipulating the same workpiece by holding it in a chuck from different ends.

2.B.Technical Notes.3.	Axis nomenclature shall be in accordance with International Standard ISO 841:2001, Industrial automation systems and integration - Numerical control of machines - Coordinate system and motion nomenclature. 
2.B.Technical Notes.4.	For the purposes of this Category a "tilting spindle" is counted as a rotary axis.
2.B.Technical Notes.5.	'Stated "unidirectional positioning repeatability"' may be used for each machine tool model as an alternative to individual machine tests, and is determined as follows:
2.B.Technical Notes.5.a.	Select five machines of a model to be evaluated;
2.B.Technical Notes.5.b.	Measure the linear axis repeatability (R↑,R↓) according to ISO 230-2:2014 and evaluate "unidirectional positioning repeatability" for each axis of each of the five machines;
2.B.Technical Notes.5.c.	Determine the arithmetic mean value of the "unidirectional positioning repeatability"-values for each axis of all five machines together.  These arithmetic mean values of "unidirectional positioning repeatability" ($\overline{UPR}$) become the stated value of each axis for the model ($\overline{UPR}_{x}$, $\overline{UPR}_{y}$, …)
2.B.Technical Notes.5.d.	Since the Category 2 list refers to each linear axis there will be as many 'stated "unidirectional positioning repeatability"'-values as there are linear axes;
2.B.Technical Notes.5.e.	If any axis of a machine model not specified by 2.B.1.a. to 2.B.1.c. has a 'stated "unidirectional positioning repeatability"' equal to or less than the specified "unidirectional positioning repeatability" of each machine tool model plus 0.7 µm, the builder should be required to reaffirm the accuracy level once every eighteen months.
2.B.Technical Notes.6.	For the purposes of 2.B., measurement uncertainty for the "unidirectional positioning repeatability" of machine tools, as defined in the International Standard ISO 230-2:2014 or national equivalents, shall not be considered.
2.B.Technical Notes.7.	For the purpose of 2.B., the measurement of axes shall be made according to test procedures in 5.3.2. of ISO 230-2:2014.  Tests for axes longer than 2 meters shall be made over 2 m segments.  Axes longer than 4 m require multiple tests (e.g., two tests for axes longer than 4 m and up to 8 m, three tests for axes longer than 8 m and up to 12 m), each over 2 m segments and distributed in equal intervals over the axis length.  Test segments are equally spaced along the full axis length, with any excess length equally divided at the beginning, in between, and at the end of the test segments.  The smallest "unidirectional positioning repeatability"-value of all test segments is to be reported.
2.B.1.	Machine tools and any combination thereof, for removing (or cutting) metals, ceramics or "composites", which, according to the manufacturer's technical specification, can be equipped with electronic devices for "numerical control", as follows:
2.B.1.Note 1.	2.B.1. does not apply to special purpose machine tools limited to the manufacture of gears.  For such machines, see 2.B.3.
2.B.1.Note 2.	2.B.1. does not apply to special purpose machine tools limited to the manufacture of any of the following:
2.B.1.Note 2.a.	Crank shafts or cam shafts;
2.B.1.Note 2.b.	Tools or cutters;
2.B.1.Note 2.c.	Extruder worms;
2.B.1.Note 2.d.	Engraved or facetted jewellery parts; or
2.B.1.Note 2.e.	Dental prostheses.
2.B.1.Note 3.	A machine tool having at least two of the three turning, milling or grinding capabilities (e.g., a turning machine with milling capability), must be evaluated against each applicable entry 2.B.1.a., b. or c.
2.B.1.N.B.	For optical finishing machines, see 2.B.2.
2.B.1.a.	Machine tools for turning having two or more axes which can be coordinated simultaneously for "contouring control" having any of the following:
2.B.1.a.1.	"Unidirectional positioning repeatability" equal to or less (better) than 0.9 µm along one or more linear axis with a travel length less than 1.0 m; or
2.B.1.a.2.	"Unidirectional positioning repeatability" equal to or less (better) than 1.1 µm along one or more linear axis with a travel length equal to or greater than 1.0 m;
2.B.1.a.Note 1.	2.B.1.a. does not apply to turning machines specially designed for producing contact lenses, having all of the following:
2.B.1.a.Note 1.a.	Machine controller limited to using ophthalmic based "software" for part programming data input; and
2.B.1.a.Note 1.b.	No vacuum chucking.
2.B.1.a.Note 2.	2.B.1.a. does not apply to bar machines (Swissturn), limited to machining only bar feed thru, if maximum bar diameter is equal to or less than 42 mm and there is no capability of mounting chucks. Machines may have drilling or milling capabilities for machining parts with diameters less than 42 mm. 
2.B.1.b.	Machine tools for milling having any of the following:
2.B.1.b.1.	Three linear axes plus one rotary axis which can be coordinated simultaneously for "contouring control" having any of the following:
2.B.1.b.1.a.	"Unidirectional positioning repeatability" equal to or less (better) than 0.9 µm along one or more linear axis with a travel length less than 1.0 m; or
2.B.1.b.1.b.	"Unidirectional positioning repeatability" equal to or less (better) than 1.1 µm along one or more linear axis with a travel length equal to or greater than 1.0 m;
2.B.1.b.2.	Five or more axes which can be coordinated simultaneously for "contouring control" having any of the following:
2.B.1.b.2.a.	"Unidirectional positioning repeatability" equal to or less (better) than 0.9 µm along one or more linear axis with a travel length less than 1.0 m;
2.B.1.b.2.b.	"Unidirectional positioning repeatability" equal to or less (better) than 1.4 µm along one or more linear axis with a travel length equal to or greater than 1 m and less than 4 m; or
2.B.1.b.2.c.	"Unidirectional positioning repeatability" equal to or less (better) than 6.0 µm along one or more linear axis with a travel length equal to or greater than 4 m;
2.B.1.b.2.d.	Not used since 2016
2.B.1.b.3.	A "unidirectional positioning repeatability" for jig boring machines, equal to or less (better) than 1.1 µm along one or more linear axis; or
2.B.1.b.4.	Fly cutting machines having all of the following:
2.B.1.b.4.a.	Spindle "run-out" and "camming" less (better) than 0.0004 mm TIR; and
2.B.1.b.4.b.	Angular deviation of slide movement (yaw, pitch and roll) less (better) than 2 seconds of arc, TIR, over 300 mm of travel;
2.B.1.c.	Machine tools for grinding having any of the following:
2.B.1.c.1.	Having all of the following:
2.B.1.c.1.a.	"Unidirectional positioning repeatability" equal to or less (better) than 1.1 µm along one or more linear axis; and
2.B.1.c.1.b.	Three or four axes which can be coordinated simultaneously for "contouring control"; or
2.B.1.c.2.	Five or more axes which can be coordinated simultaneously for "contouring control" having any of the following:
2.B.1.c.2.a.	"Unidirectional positioning repeatability" equal to or less (better) than 1.1 µm along one or more linear axis with a travel length less than 1 m; 
2.B.1.c.2.b.	"Unidirectional positioning repeatability" equal to or less (better) than 1.4 µm along one or more linear axis with a travel length equal to or greater than 1 m and less than 4 m; or
2.B.1.c.2.c.	"Unidirectional positioning repeatability" equal to or less (better) than 6.0 µm along one or more linear axis with a travel length equal to or greater than 4 m. 
2.B.1.c.Note.	2.B.1.c. does not apply to grinding machines as follows:
2.B.1.c.Note.a.	Cylindrical external, internal, and external-internal grinding machines, having all of the following:
2.B.1.c.Note.a.1.	Limited to cylindrical grinding; and
2.B.1.c.Note.a.2.	Limited to a maximum workpiece capacity of 150 mm outside diameter or length.
2.B.1.c.Note.b.	Machines designed specifically as jig grinders that do not have a z-axis or a w-axis, with a "unidirectional positioning repeatability" less (better) than 1.1 µm.
2.B.1.c.Note.c.	Surface grinders.
2.B.1.d.	Electrical discharge machines (EDM) of the non-wire type which have two or more rotary axes which can be coordinated simultaneously for "contouring control";
2.B.1.e.	Machine tools for removing metals, ceramics or "composites", having all of the following:
2.B.1.e.1.	Removing material by means of any of the following:
2.B.1.e.1.a.	Water or other liquid jets, including those employing abrasive additives;
2.B.1.e.1.b.	Electron beam; or
2.B.1.e.1.c.	"Laser" beam; and
2.B.1.e.2.	At least two rotary axes having all of the following:
2.B.1.e.2.a.	Can be coordinated simultaneously for "contouring control"; and 
2.B.1.e.2.b.	A positioning "accuracy" of less (better) than 0.003°;
2.B.1.f.	Deep-hole-drilling machines and turning machines modified for deep-hole-drilling, having a maximum depth-of-bore capability exceeding 5 m.
2.B.2.	Numerically controlled optical finishing machine tools equipped for selective material removal to produce non-spherical optical surfaces having all of the following characteristics:
2.B.2.a.	Finishing the form to less (better) than 1.0 µm;
2.B.2.b.	Finishing to a roughness less (better) than 100 nm rms;
2.B.2.c.	Four or more axes which can be coordinated simultaneously for "contouring control"; and
2.B.2.d.	Using any of the following processes:
2.B.2.d.1.	'Magnetorheological finishing (MRF)';
2.B.2.d.2.	'Electrorheological finishing (ERF)';
2.B.2.d.3.	'Energetic particle beam finishing';
2.B.2.d.4.	'Inflatable membrane tool finishing'; or
2.B.2.d.5.	'Fluid jet finishing'.

2.B.2.Technical Notes.	For the purposes of 2.B.2.:
2.B.2.Technical Notes.1.	'MRF' is a material removal process using an abrasive magnetic fluid whose viscosity is controlled by a magnetic field.
2.B.2.Technical Notes.2.	'ERF' is a removal process using an abrasive fluid whose viscosity is controlled by an electric field.
2.B.2.Technical Notes.3.	'Energetic particle beam finishing' uses Reactive Atom Plasmas (RAP) or ion-beams to selectively remove material.
2.B.2.Technical Notes.4.	'Inflatable membrane tool finishing' is a process that uses a pressurized membrane that deforms to contact the workpiece over a small area.
2.B.2.Technical Notes.5.	'Fluid jet finishing' makes use of a fluid stream for material removal.
2.B.3.	"Numerically controlled" machine tools, specially designed for the shaving, finishing, grinding or honing of hardened (Rc = 40 or more) spur, helical and double-helical gears having all of the following:
2.B.3.a.	A pitch diameter exceeding 1,250 mm;
2.B.3.b.	A face width of 15% of pitch diameter or larger; and 
2.B.3.c.	A finished quality of AGMA 14 or better (equivalent to ISO 1328 class 3).
2.B.4.	Hot "isostatic presses" having all of the following, and specially designed components and accessories therefor:
2.B.4.a.	A controlled thermal environment within the closed cavity and a chamber cavity with an inside diameter of 406 mm or more; and
2.B.4.b.	Having any of the following:
2.B.4.b.1.	A maximum working pressure exceeding 207 MPa;
2.B.4.b.2.	A controlled thermal environment exceeding 1,773 K (1,500°C); or
2.B.4.b.3.	A facility for hydrocarbon impregnation and removal of resultant gaseous degradation products.

2.B.4.Technical Note.	The inside chamber dimension is that of the chamber in which both the working temperature and the working pressure are achieved and does not include fixtures.  That dimension will be the smaller of either the inside diameter of the pressure chamber or the inside diameter of the insulated furnace chamber, depending on which of the two chambers is located inside the other.
2.B.4.N.B.	For specially designed dies, moulds and tooling see 1.B.3., 9.B.9. and ML18. of the Munitions List.
2.B.5.	Equipment specially designed for the deposition, processing and in-process control of inorganic overlays, coatings and surface modifications, as follows, for substrates specified in column 2, by processes shown in column 1 in the Table following 2.E.3.f., and specially designed automated handling, positioning, manipulation and control components therefor:
2.B.5.a.	Chemical vapour deposition (CVD) production equipment having all of the following:
2.B.5.a.1.	A process modified for one of the following:
2.B.5.a.1.a.	Pulsating CVD;
2.B.5.a.1.b.	Controlled nucleation thermal deposition (CNTD); or
2.B.5.a.1.c.	Plasma enhanced or plasma assisted CVD; and
2.B.5.a.2.	Having any of the following:
2.B.5.a.2.a.	Incorporating high vacuum (equal to or less than 0.01 Pa) rotating seals; or
2.B.5.a.2.b.	Incorporating in situ coating thickness control;
2.B.5.b.	Ion implantation production equipment having beam currents of 5 mA or more;
2.B.5.c.	Electron beam physical vapour deposition (EB-PVD) production equipment incorporating power systems rated for over 80 kW and having any of the following:
2.B.5.c.1.	A liquid pool level "laser" control system which regulates precisely the ingots feed rate; or
2.B.5.c.2.	A computer controlled rate monitor operating on the principle of photo-luminescence of the ionised atoms in the evaporant stream to control the deposition rate of a coating containing two or more elements;
2.B.5.d.	Plasma spraying production equipment having any of the following:
2.B.5.d.1.	Operating at reduced pressure controlled atmosphere (equal to or less than 10 kPa measured above and within 300 mm of the gun nozzle exit) in a vacuum chamber capable of evacuation down to 0.01 Pa prior to the spraying process; or
2.B.5.d.2.	Incorporating in situ coating thickness control;
2.B.5.e.	Sputter deposition production equipment capable of current densities of 0.1 mA/mm2 or higher at a deposition rate of 15 µm/h or more;
2.B.5.f.	Cathodic arc deposition production equipment incorporating a grid of electromagnets for steering control of the arc spot on the cathode;
2.B.5.g.	Ion plating production equipment capable of in situ measurement of any of the following:
2.B.5.g.1.	Coating thickness on the substrate and rate control; or
2.B.5.g.2.	Optical characteristics.
2.B.5.Note.	2.B.5.a., 2.B.5.b., 2.B.5.e., 2.B.5.f. and 2.B.5.g. do not apply to chemical vapour deposition, cathodic arc, sputter deposition, ion plating or ion implantation equipment, specially designed for cutting or machining tools.
2.B.6.	Dimensional inspection or measuring systems, equipment, position feedback units and "electronic assemblies", as follows:
2.B.6.a.	Computer controlled or "numerical controlled" Coordinate Measuring Machines (CMM), having a three dimensional (volumetric) maximum permissible error of length measurement ($\text{E}_{0,\text{MPE}}$) at any point within the operating range of the machine (i.e., within the length of axes) equal to or less (better) than 1.7 + L/1,000 µm (L is the measured length in mm), according to ISO 10360-2 (2009);

2.B.6.a.Technical Note.	The $\text{E}_{0,\text{MPE}}$ of the most accurate configuration of the CMM specified by the manufacturer (e.g., best of the following: probe, stylus length, motion parameters, environment) and with "all compensations available" shall be compared to the 1.7 + L/1,000 µm threshold.
2.B.6.b.	Linear displacement measuring instruments or systems, linear position feedback units, and "electronic assemblies", as follows:
2.B.6.b.Note.	Interferometer and optical-encoder measuring systems containing a "laser" are only specified in 2.B.6.b.3.
2.B.6.b.1.	'Non-contact type measuring systems' with a 'resolution' equal to or less (better) than 0.2 µm within 0 to 0.2 mm of the 'measuring range';

2.B.6.b.1.Technical Notes.1.	For the purposes of 2.B.6.b.1., 'non-contact type measuring systems' are designed to measure the distance between the probe and measured object along a single vector, where the probe or measured object is in motion.
2.B.6.b.1.Technical Notes.2.	For the purposes of 2.B.6.b.1., 'measuring range' means the distance between the minimum and maximum working distance.
2.B.6.b.2.	Linear position feedback units specially designed for machine tools and having an overall "accuracy" less (better) than (800 + (600 x L/1,000)) nm (L equals effective length in mm);
2.B.6.b.3.	Measuring systems having all of the following:
2.B.6.b.3.a.	Containing a "laser"; 
2.B.6.b.3.b.	A 'resolution' over their full scale of 0.200 nm or less (better); and
2.B.6.b.3.c.	Capable of achieving a "measurement uncertainty" equal to or less (better) than (1.6 + L/2,000) nm (L is the measured length in mm) at any point within a measuring range, when compensated for the refractive index of air and measured over a period of 30 seconds at a temperature of 20±0.01oC; or

2.B.6.b.Technical Note.	For the purposes of 2.B.6.b., 'resolution' is the least increment of a measuring device; on digital instruments, the least significant bit.
2.B.6.b.4.	"Electronic assemblies" specially designed to provide feedback capability in systems specified by 2.B.6.b.3.;
2.B.6.c.	Rotary position feedback units specially designed for machine tools or angular displacement measuring instruments, having an angular position "accuracy" equal to or less (better) than 0.9 second of arc;
2.B.6.c.Note.	2.B.6.c. does not apply to optical instruments, such as autocollimators, using collimated light (e.g., laser light) to detect angular displacement of a mirror.
2.B.6.d.	Equipment for measuring surface roughness (including surface defects), by measuring optical scatter with a sensitivity of 0.5 nm or less (better).
2.B.6.d.Note.	2.B.6. includes machine tools, other than those specified by 2.B.1., that can be used as measuring machines if they meet or exceed the criteria specified for the measuring machine function.
2.B.7.	"Robots" having any of the following characteristics and specially designed controllers and "end-effectors" therefor:
2.B.7.a.	Not used since 2017
2.B.7.b.	Specially designed to comply with national safety standards applicable to potentially explosive munitions environments;
2.B.7.b.Note.	2.B.7.b. does not apply to "robots" specially designed for paint-spraying booths.
2.B.7.c.	Specially designed or rated as radiation-hardened to withstand greater than 5 x $10^3$ Gy (Si) without operational degradation; or
