
6.A.	SYSTEMS, EQUIPMENT AND COMPONENTS

6.A.1.	ACOUSTICS

6.A.1.	Acoustic systems, equipment and components, as follows:

6.A.1.a.	Marine acoustic systems, equipment and specially designed components therefor, as follows:
6.A.1.a.1.	Active (transmitting or transmitting-and-receiving) systems, equipment and specially designed components therefor, as follows:
6.A.1.a.1.Note.	6.A.1.a.1. does not apply to equipment as follows:
6.A.1.a.1.Note.a.	Depth sounders operating vertically below the apparatus, not including a scanning function exceeding ± 20°, and limited to measuring the depth of water, the distance of submerged or buried objects or fish finding;
6.A.1.a.1.Note.b.	Acoustic beacons, as follows:
6.A.1.a.1.Note.b.1.	Acoustic emergency beacons;
6.A.1.a.1.Note.b.2.	Pingers specially designed for relocating or returning to an underwater position.
6.A.1.a.1.a.	Acoustic seabed survey equipment as follows:
6.A.1.a.1.a.1.	Surface vessel survey equipment designed for seabed topographic mapping and having all of the following:
6.A.1.a.1.a.1.a.	Designed to take measurements at an angle exceeding 20° from the vertical;
6.A.1.a.1.a.1.b.	Designed to measure seabed topography at seabed depths exceeding 600 m;
6.A.1.a.1.a.1.c.	'Sounding resolution' less than 2; and
6.A.1.a.1.a.1.d.	'Enhancement' of the depth "accuracy" through compensation for all the following:
6.A.1.a.1.a.1.d.1.	Motion of the acoustic sensor;
6.A.1.a.1.a.1.d.2.	In-water propagation from sensor to the seabed and back; and
6.A.1.a.1.a.1.d.3.	Sound speed at the sensor;

6.A.1.a.1.a.1.Technical Notes.1.	'Sounding resolution' is the swath width (degrees) divided by the maximum number of soundings per swath.
6.A.1.a.1.a.1.Technical Notes.2.	'Enhancement' includes the ability to compensate by external means. 

6.A.1.a.1.a.2.	Underwater survey equipment designed for seabed topographic mapping and having any of the following:

6.A.1.a.1.a.2.Technical Note.	The acoustic sensor pressure rating determines the depth rating of the equipment specified by 6.A.1.a.1.a.2.

6.A.1.a.1.a.2.a.	Having all of the following:
6.A.1.a.1.a.2.a.1.	Designed or modified to operate at depths exceeding 300 m; and
6.A.1.a.1.a.2.a.2.	'Sounding rate' greater than 3,800 m/s; or

6.A.1.a.1.a.2.a.Technical Note.	'Sounding rate' is the product of the maximum speed (m/s) at which the sensor can operate and the maximum number of soundings per swath assuming 100% coverage.  For systems that produce soundings in two directions (3D sonars), the maximum of the 'sounding rate' in either direction should be used.

6.A.1.a.1.a.2.b.	Survey equipment, not specified by 6.A.1.a.1.a.2.a., having all of the following:
6.A.1.a.1.a.2.b.1.	Designed or modified to operate at depths exceeding 100 m;
6.A.1.a.1.a.2.b.2.	Designed to take measurements at an angle exceeding 20° from the vertical;
6.A.1.a.1.a.2.b.3.	Having any of the following:
6.A.1.a.1.a.2.b.3.a.	Operating frequency below 350 kHz; or
6.A.1.a.1.a.2.b.3.b.	Designed to measure seabed topography at a range exceeding 200 m from the acoustic sensor; and
6.A.1.a.1.a.2.b.4.	'Enhancement' of the depth "accuracy" through compensation of all of the following:
6.A.1.a.1.a.2.b.4.a.	Motion of the acoustic sensor;
6.A.1.a.1.a.2.b.4.b.	In-water propagation from sensor to the seabed and back; and
6.A.1.a.1.a.2.b.4.c.	Sound speed at the sensor.

6.A.1.a.1.a.3.	Side Scan Sonar (SSS) or Synthetic Aperture Sonar (SAS), designed for seabed imaging and having all of the following, and specially designed transmitting and receiving acoustic arrays therefor:
6.A.1.a.1.a.3.a.	Designed or modified to operate at depths exceeding 500 m;
