Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8009709,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C111.a2a3
1C011.a",80053
8009831,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,3494
8009831,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,208244
8007472,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07,54600
8009690,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.c1,219951.95
8008911,Ägypten,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1376.25
8008818,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1690
8008712,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,811
8008877,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,4875
8008966,Algerien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",148250
8009527,Aserbaidschan,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,3031392
8009388,Bangladesch,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"5A002.a1
5D002.c1",1920
8009124,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,1120
8009124,Bangladesch,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"5A002.a1
5D002.c1",5270
8009124,Bangladesch,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"5A002.a1
5D002.c1",342521
8009705,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,437673.6
8009042,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,11160
8009042,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1485
8008856,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7064
8008856,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,790
8008787,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,60
8008831,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,274
8008831,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,286
8009156,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,286
8009420,Belgien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",252348
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,206
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,98
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,354
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,345
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,114
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,315
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,237
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,98
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,206
8009285,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,137
8009578,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,292
8009578,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,925
8008910,Bosnien-Herzegowina,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML03.a,14500
8008599,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"5A001.f1
5A001.f3",3000
8009025,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0A001.g,12320000
8001546,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,310000
8009080,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009922,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,35881
8009078,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009075,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009077,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8008970,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009140,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009146,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8008896,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8009957,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,17912
8008759,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,53157
8008434,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,35000
8009807,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,6074.85
8009547,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,63124
8009342,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,12739.35
8009340,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,22475.7
8009337,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,15288.65
8009335,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,22475.7
8009203,"China, Taiwan","Besondere militärische Güter
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"ML13
ML22",5000000
8009538,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7128.5
8009917,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",385000
8009180,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",858000
8008716,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b1",560000
8009327,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3100
8009314,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",291262
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,870.72
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1700.68
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,883.76
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1396.85
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2117.56
8009971,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,265.23
8008696,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,21543.1
8009458,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,137640
8009067,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,14362.05
8008824,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1635
8008824,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2819
8009878,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,7128.5
8009272,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,108000
8008867,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,21543.1
8008248,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",370718
8009013,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,66200
8007678,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,17700
8009847,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.B1,197000
8009848,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g4,138289
8009996,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,46450
8010161,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201,250000
8009559,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,56707
