"Geschäftsnummer","Bestimmungsland","Güterart","Geschäftstyp","Richtung","Exportkontrollnummer (EKN)"," Wert (CHF) "
8021839,"Ägypten","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A001.h"," CHF 31,284.00 "
8022934,"Ägypten","Dual Use Güter","Einzelbewilligung","Ausfuhr","3A001.b"," CHF 3,984.00 "
8026488,"Ägypten","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A001.h"," CHF 120,000.00 "
8026489,"Ägypten","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A001.h"," CHF 150,000.00 "
8026549,"Ägypten","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 2,990.00 "
8027092,"Australien","Dual Use Güter","Einzelbewilligung","Ausfuhr","5D001.a"," CHF 7,225.00 "
8026465,"Australien","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","3A001.a7a
3A001.a7b"," CHF 26,447.00 "
8026910,"Australien","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 2,401.00 "
8027223,"Bahamas","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 855.00 "
8026379,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 7,600.00 "
8027188,"Belarus","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C233"," CHF 10,000.00 "
8027359,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 480.00 "
8026897,"Belarus","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C233"," CHF 2,000.00 "
8026806,"Belarus","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C231"," CHF 2,190.00 "
8027258,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 4,585.00 "
8027258,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 1,760.00 "
8027258,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 2,000.00 "
8026886,"Belgien","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 16,758.00 "
8026539,"Belgien","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B201.b
2B201.a"," CHF 295,780.00 "
8026938,"Bosnien-Herzegowina","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.2"," CHF 175,000.00 "
8026896,"Bosnien-Herzegowina","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B350.i6"," CHF 476.65 "
8022155,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.a"," CHF 168,946.30 "
8027096,"Brasilien","Chemikalien CWÜ","Einzelbewilligung","Ausfuhr","3B.17"," CHF 13,289.10 "
8026934,"Brasilien","Besondere militärische Güter","Einzelbewilligung","Ausfuhr","ML18.a"," CHF 4,413.16 "
8027027,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 515.00 "
8027027,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 1,910.00 "
8027027,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 1,910.00 "
8027166,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C010.b"," CHF 21,689.20 "
8026386,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 3,870.00 "
8026607,"Brasilien","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b.2
2B201.a.1"," CHF 235,601.00 "
8026413,"Bulgarien","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.a"," CHF 4,550.00 "
8026413,"Bulgarien","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.a"," CHF 7,940.00 "
8026775,"Bulgarien","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.c
2B201.b"," CHF 10,950.00 "
8027280,"Chile","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 320.00 "
8027224,"Chile","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 855.00 "
8026351,"China, Taiwan","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 8,928.00 "
8026364,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter","Einzelbewilligung","Ausfuhr","3B.14
1C350.9"," CHF 3,252.00 "
8026363,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter","Einzelbewilligung","Ausfuhr","3B.14
1C350.9"," CHF 12,940.00 "
8027173,"China, Taiwan","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B350.d3"," CHF 18,054.85 "
8026492,"China, Taiwan","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B350.i10"," CHF 69,913.00 "
8027236,"China, Taiwan","Dual Use Güter","Einzelbewilligung","Ausfuhr","9D004.e"," CHF 880.00 "
8027243,"China, Taiwan","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001
2B001.c"," CHF 110,000.00 "
8027240,"China, Taiwan","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B201.b"," CHF 226,800.00 "
8026546,"China, Taiwan","Dual Use Güter","Einzelbewilligung","Ausfuhr","3B001.e"," CHF 3,260,075.00 "
