"Geschäftsnummer","Bestimmungsland","Güterart","Geschäftstyp","Richtung","Exportkontrollnummer [EKN]"," Wert [CHF] "
8027726,"Albanien","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 302,727.00 "
8027799,"Algerien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.2"," CHF 1,000,000.00 "
8027864,"Argentinien","Dual Use Güter","Einzelbewilligung","Ausfuhr","2B352.d"," CHF 21,777.46 "
8028036,"Armenien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C350.45"," CHF 24.80 "
8028102,"Bahamas","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.A.1"," CHF 3,190.69 "
8027870,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 967.50 "
8027870,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 2,940.00 "
8027870,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 5,600.00 "
8027870,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 2,327.50 "
8027841,"Bahrain","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 46,944.00 "
8027592,"Bangladesch","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a1"," CHF 8,394.00 "
8028063,"Bangladesch","Dual Use Güter","Einzelbewilligung","Ausfuhr","3A225"," CHF 1,989.66 "
8027573,"Belarus","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 13,689.00 "
8027704,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 3,490.00 "
8027704,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 2,560.00 "
8027704,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 5,137.00 "
8027583,"Belarus","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 46,969.00 "
8027246,"Belarus","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 22,068.00 "
8027954,"Belgien","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 10,000.00 "
8027588,"Bosnien-Herzegowina","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.2"," CHF 16,500.00 "
8028450,"Bosnien-Herzegowina","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 3,000.00 "
8028067,"Bosnien-Herzegowina","Dual Use Güter
Dual Use Güter","Einzelbewilligung","Ausfuhr","2B001.b
2B201.a"," CHF 3,500.00 "
8027872,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 62,608.00 "
8027916,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 4,154.00 "
8028003,"Brasilien","Nukleargüter","Einzelbewilligung","Ausfuhr","0A001.g"," CHF 12,320,000.00 "
8027562,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 1,910.00 "
8027562,"Brasilien","National kontrollierte Güter","Einzelbewilligung","Ausfuhr","5.1"," CHF 1,910.00 "
8028367,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C351.d11"," CHF 186.95 "
8028367,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C351.d11"," CHF 186.91 "
8027786,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","5A002.a.1"," CHF 10,000.00 "
8028274,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C351.d11"," CHF 181.50 "
8028274,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C351.d11"," CHF 181.50 "
8028274,"Brasilien","Dual Use Güter","Einzelbewilligung","Ausfuhr","1C351.d11"," CHF 181.50 "
