,km1,km2,km3,km4,km5,km6,km7,km8,km10,km16
Belgien,1033414,,1227574,,,149839,,352357,542800,
Bosnien und Herzeg.,1513,,6384,,,,,,,
Bulgarien,,,3500,,,5600,,4398592,,
Dänemark,7065,17555352,2469234,,22077,760332,,184653,,
Deutschland,5390126,15417460,52907115,84952,571998,14206608,28503,3338591,1206235,2662
Estland,51568,,1049021,,,,,8,,
Finnland,119170,102846,8736,,,20199,,,103022,
Frankreich,2828535,3363270,6902390,739971,172050,76705,,407363,2835357,
Griechenland,3240,309,5,,3750,,,,,
Grossbritannien,132605,23000,12893703,,668560,185575,3960,2204961,1122408,
Irland,221708,,,,,,,,,
Island,2569,2400,,,,,,,,
Italien,605671,21292,882629,,5446895,,,353361,,4620
Kroatien,79,,15451,,,,,,,
Lettland,18188,,52613,,,,,,,
Litauen,17824,,153569,,,,,,,
Luxemburg,48138,,251472,,,,,,,
Malta,16470,,,,,,,,,
Niederlande,381284,58000,3072247,,,780853,,165,,
Norwegen,150992,,5389961,,77356,2324550,,941539,,
Österreich,266294,60267,2807867,3275,12148,30855,,,,
Polen,463899,,32846,,,,,64692,,
Portugal,17714,,18468,,,,3366,,,
Rumänien,,118443,,,61320,81800,,,,
Schweden,387555,441154,12793251,797366,1345215,,,1542926,568238,
Serbien,6478,2259,38,,,,,3057,86710,
Slowakei,1662633,64721,307938,,,,,,,
Slowenien,2808,,,,,,,,,
Spanien,43304,1418862,1122591,,122935,3478751,,25484,458565,
Tschechische Rep.,1470185,48730,286604,22567,,5314,,,,
Türkei,,22000,,,25140,,,,,
Ungarn,236983,,1501706,5210,,,,137187,,
Zypern,109,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Kenia,3704,,,,,,,,,
Mali,750,,,,,,,,,
Südafrika,182144,2341844,159229,,47373514,,,1251830,,
Tunesien,,,7200,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Argentinien,,136246,,,313521,,,,,
Brasilien,,,3700,,7368757,40630,,243096,,
Chile,,114347,530794,,2938294,53448,,,51,
Kanada,1555615,,80225,,,94762,,,172042,
Kolumbien,,,,,,,,,142889,
Mexiko,47500,,,,,,,,,
Paraguay,,,161955,,,,,,,
U.S.A,3446744,36507,9322963,,21325,69460,4145,2475092,16417263,281554
,,,,,,,,,,
,,,,,,,,,,
Arabische Emirate,52355,1238907,,,603121,1692087,,,,
Bahrain,,216215,,,277761,,,,,
Bangladesh,800,,20,,,,,,,
Brunei,,,114000,,,,,,,
China,181372,,,,,,,,,
Georgien,2940,,,,,,,,,
Hongkong,1390,,,,,,,,,
Indien,310940,,,,34277117,,,,,
Indonesien,,211303,3202888,,779766,,,,220,
Israel,,,,,95000,59873,,,,
Japan,37800,,465931,,,,,,,
Jordanien,28588,,,,,,,,,
Katar,169774,,,,,,,,,
Korea (Süd),121621,167746,381703,,,,,,,
Kuwait,125349,100000,400,,,,,,,
Macau,55439,,52500,,,,,,,
Malaysia,16882,,9241222,,54000,,,,,
Oman,15956,59407,2501884,,20470,1835,,,,
Pakistan,,24407219,,,1117805,,,,,
Philippinen,1852,,,,,,,,,
Saudi-Arabien,,887337,,,11267700,,,,,
Singapur,251138,15307,5082377,,7500,112880,27477,1435,,
Vietnam,333405,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Australien,36111,,148452,,,220000,,,,
Neuseeland,10202,4164,300,,,,,,,
