Geschäftsnummer,Ausstellungsdatum,Bestimmungsland,Güterart,Geschäftsart,EKN,Wert [CHF]
8001404,06.01.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2b001.b
2b201.a",266766
8001334,06.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2b001.d,255995
8001385,06.01.2015,Indien,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.a1
2B001.a2",619568
8001409,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,3860
8001410,06.01.2015,Österreich,National kontrollierte Güter,Ausfuhr,5.1,582.3
8001415,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,1585
8001415,06.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,2030
8001414,07.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,1160000
8001426,07.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,425000
8001403,07.01.2015,Niederlande,National kontrollierte Güter,Ausfuhr,5.1,142
8001403,07.01.2015,Niederlande,National kontrollierte Güter,Ausfuhr,5.1,156
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.b4b,30000
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,10735
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,20220
8001411,07.01.2015,Thailand,Dual Use Güter,Ausfuhr,6A002.c1,4274
8001428,07.01.2015,Slowenien,Dual Use Güter,Ausfuhr,6A005.a6b2,303402.5
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,3290
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,11750
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,738.88
8001451,08.01.2015,Italien,Besondere militärische Güter,Ausfuhr,ML13,907.4
8001437,08.01.2015,Rumänien,Dual Use Güter,Ausfuhr,2B001.b,66000
8001431,08.01.2015,Frankreich,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a",367882
8001452,08.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.a
2B001.B",1575000
8001456,08.01.2015,Brasilien,Besondere militärische Güter,Ausfuhr,ML10,37083
8001460,08.01.2015,Libanon,Dual Use Güter,Ausfuhr,6A005.a6b2,837078
8001465,08.01.2015,Singapur,Dual Use Güter,Ausfuhr,6A005.a6.a,26095.5
8001466,08.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b,852000
8001467,08.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b,548000
8001468,08.01.2015,Indien,National kontrollierte Güter,Ausfuhr,5.1,2960
8001471,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.a,785355
8001471,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.a,180595
8001473,09.01.2015,Chile,National kontrollierte Güter,Ausfuhr,5.1,1298
8001436,09.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",1335300
8001469,09.01.2015,Schweiz,Besondere militärische Güter,Ausfuhr,ML22,1
8001386,09.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,7590
8001386,09.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,7A105,7590
8001374,09.01.2015,Argentinien,Dual Use Güter,Ausfuhr,2B352.b1,760621.9
8001374,09.01.2015,Argentinien,Dual Use Güter,Ausfuhr,2B352.b1,289378.1
8001405,09.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B120
7B003",392900
8001484,09.01.2015,Indien,Dual Use Güter,Ausfuhr,2D002,9042.1
8001274,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,5A002.a1,19900
8001457,09.01.2015,Israel,Dual Use Güter,Ausfuhr,2B001.a,1010000
8001487,09.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B352,8300000
8001489,09.01.2015,Indien,Dual Use Güter,Ausfuhr,2B352.b,86300
8001496,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a5a3,48300
8001496,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A001.a5a1,28350
8001497,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A002.g2,47088
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.b2,5800
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.a3,11000
8001483,12.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.g1,1650
8001505,12.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,6A005.a6b2,276000
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,100
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,150
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001494,12.01.2015,Vereinigte Staaten von Amerika,Besondere militärische Güter,Ausfuhr,ML13.d,250
8001501,13.01.2015,Singapur,Dual Use Güter,Ausfuhr,5A002.a1b,2412.58
8001508,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2D001
2D202",270147
8001172,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B201.a
2B001.b",2577264
8001513,13.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",276000
8001512,13.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.a2,617000
8001522,13.01.2015,Singapur,Dual Use Güter,Ausfuhr,1C231,4450
8001445,14.01.2015,Algerien,Besondere militärische Güter,Ausfuhr,ML14,85000
8001523,14.01.2015,Singapur,Dual Use Güter,Ausfuhr,1C231,5350
8001150,14.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B001.b2,373794
8001532,14.01.2015,Vereinigte Staaten von Amerika,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",1550951.3
8001536,14.01.2015,Slowakische Republik,"Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b
2B201.a",756000
8001541,15.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.a1,395163
8001542,15.01.2015,Brasilien,Dual Use Güter,Ausfuhr,6A005.a6b2,310000
8001543,15.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B350.g2,867
8001539,15.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"2B001.b2
2B201.a1",756000
8001546,15.01.2015,Brasilien,Dual Use Güter,Ausfuhr,6A005.a6b2,310000
8001548,15.01.2015,Chile,National kontrollierte Güter,Ausfuhr,5.1,223
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,388
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,756
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,226
8001547,15.01.2015,Angola,National kontrollierte Güter,Ausfuhr,5.1,483
8001553,15.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A225,6700
8001556,15.01.2015,Singapur,Dual Use Güter,Ausfuhr,2B350.e2,27510
8001537,16.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B350.g2,2112
8001537,16.01.2015,Deutschland,Dual Use Güter,Ausfuhr,2B350.g2,360
8001558,16.01.2015,Malaysia,"Dual Use Güter
Dual Use Güter",Ausfuhr,"1C111.a2a3
1C011.a",108150.68
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,84
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,1383
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,69
8001564,16.01.2015,Mexiko,National kontrollierte Güter,Ausfuhr,5.1,650
8001464,16.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"7B003
2B120",930000
8001464,16.01.2015,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Ausfuhr,"7B003
2B120",2270000
8001567,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B201.b1,533000
8001557,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,2B350.e5,85514
8001568,16.01.2015,"China, Volksrepublik",Dual Use Güter,Ausfuhr,3A225,2450
8001571,16.01.2015,Russische Föderation,Dual Use Güter,Ausfuhr,2B230,760
