Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8027726,Albanien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",302727
8027799,Algerien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,1000000
8027864,Argentinien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,21777.46
8028036,Armenien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.45,24.8
8028102,Bahamas,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A.1,3190.69
8027870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,967.5
8027870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2940
8027870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5600
8027870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2327.5
8027841,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,46944
8027592,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,8394
8028063,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1989.66
8027573,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",13689
8027704,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3490
8027704,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2560
8027704,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5137
8027583,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",46969
8027246,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,22068
8027954,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,10000
8027588,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,16500
8028450,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",3000
8028067,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",3500
8027872,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,62608
8027916,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4154
8028003,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0A001.g,12320000
8027562,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1910
8027562,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1910
8028367,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,186.95
8028367,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,186.91
8027786,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,10000
8028274,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,181.5
8028274,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,181.5
8028274,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,181.5
8028274,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,181.5
8027278,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.e1c,576000
8027423,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,396226
8027423,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10,51030
8028069,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1881
8028068,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1881
8026861,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.d,5750
8027824,Burkina Faso,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,2390
8027142,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,232916
8027995,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.h.1.a,31964
8027605,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,3002823
8027812,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,252823
8027813,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",11750
8027289,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,9D005,50000
8027470,"China, Taiwan",Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,4440
8026757,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,11718
8028365,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",2336980
8028350,"China, Taiwan",Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,16099.2
8028364,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c1
2B201.b",1763020
8027651,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,84535
8028119,"China, Taiwan",Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,2895.36
8028119,"China, Taiwan",Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,4401.28
8027845,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",6468
8027474,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,41690
8028131,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",866333.33
8028131,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",866333.33
