Geschäftstyp,Bewilligungsnummer,Richtung,Bewilligungsdatum,Bestimmungsland,Catch-All,AG (GKV),MTCR (GKV),NSGI (GKV),NSGII (GKV),WA (GKV),ML (GKV),Anhang 5.1,Anhang 5.2,Anhang 5.3,ChKV,Wert
DUAL_USE,43700,EXPORT,10/02/1997,Deutschland,,,,,2B201.1,,,,,,,445971
DUAL_USE,43703,EXPORT,10/06/1997,Indien,,,,,,(7B003),,,,,,575729
DUAL_USE,43702,EXPORT,10/06/1997,Kenia,,2B350.g2,,,,,,,,,,4004
DUAL_USE,43706,EXPORT,10/06/1997,OECD-Staaten,,,,,(2B001.a),,,,,,,170000
DUAL_USE,43708,EXPORT,10/06/1997,Irak,,,,,,,,,,,,34094
DUAL_USE,43704,EXPORT,10/06/1997,Irak,,,,,,,,,,,,40
DUAL_USE,43704,EXPORT,10/06/1997,Irak,,,,,,,,,,,,76
DUAL_USE,43705,EXPORT,10/06/1997,Großbritannien (Vereinigtes Königreich),,,,,,3A002.g1,,,,,,56520
DUAL_USE,43707,EXPORT,10/06/1997,Deutschland,,,,,1C216,,,,,,,2044
DUAL_USE,43701,EXPORT,10/06/1997,Mexiko,,2B352.b,,,,,,,,,,1277630
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,360
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,18250
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,232
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,750
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,2500
DUAL_USE,43710,EXPORT,10/07/1997,Irak,,,,,,,,,,,,750
DUAL_USE,43712,EXPORT,10/07/1997,Großbritannien (Vereinigtes Königreich),,,1C111.a2d,,,,,,,,,19050
DUAL_USE,43714,EXPORT,10/07/1997,Belgien,,,,,,5B001,,,,,,84700
DUAL_USE,43709,EXPORT,10/07/1997,Vereinigte Staaten,,,,,2B201.b1,,,,,,,293220
DUAL_USE,43711,EXPORT,10/07/1997,Irak,,,,,,,,,,,,1500
DUAL_USE,43711,EXPORT,10/07/1997,Irak,,,,,,,,,,,,47500
DUAL_USE,43713,EXPORT,10/07/1997,Großbritannien (Vereinigtes Königreich),,,1C111.a2d,,,,,,,,,19050
DUAL_USE,43716,EXPORT,10/08/1997,Pakistan,,,,,,SL5A002.a,,,,,,55500
DUAL_USE,43716,EXPORT,10/08/1997,Pakistan,,,,,,SL5A002.a,,,,,,2094632
DUAL_USE,43717,EXPORT,10/08/1997,Algerien,,,,,,SL5A002.c,,,,,,730650
DUAL_USE,43718,EXPORT,10/08/1997,Frankreich,,,,,,,,,,,,3000
DUAL_USE,43715,EXPORT,10/08/1997,Slowenien,,,,,,SL5A002.a,,,,,,163500
DUAL_USE,43723,EXPORT,10/09/1997,Singapur,,,,,,3A002.g1,,,,,,56121
DUAL_USE,43722,EXPORT,10/09/1997,Philippinen,,,,,,SL5A002.a,,,,,,29000
DUAL_USE,43721,EXPORT,10/09/1997,Peru,,,,,,SL5A002.a,,,,,,276000
DUAL_USE,43720,EXPORT,10/09/1997,Großbritannien (Vereinigtes Königreich),,,1C011.a,,,,,,,,,6400
