 ,,,,,,,,,,,,,,,,,,
,Bewilligungen und Ausfuhren von ML-Gütern vom 01.01. bis 31.12.2005,,,,,,,,,,,,,,,,,

Kontinent,Land,Total,ML 1,ML 2,ML 3,ML 4,ML 5,ML 6,ML 7,ML 8,ML 10,ML 11,ML 13,ML 14,ML 15,ML 16,ML 17,ML 18
,,,,,,,,,,,,,,,,,,
,Total 2005   ,120139596,1352712,136463,1172842,1137491,232202,51836331,200181,1268131,23866283,14675615,130857,12765177,44400,173120,4722832,4613797
,,,,,,,,,,,,,,,,,,
Europa,Andorra,12280,12280,,,,,,,,,,,,,,,
,Belgien*,105848,88818,,,,,,8650,,,,,8380,,,,
,Bosnien/Herzegowina,14900,,,,,,,,,,,,14900,,,,
,Dänemark*,24702,3170,,,,,,,,,,21532,,,,,
,Deutschland*,12699879,178656,,18810,722178,,6099312,5234,827555,,4672667,8667,6800,,160000,,
,Estland,5580,5580,,,,,,,,,,,,,,,
,Finnland*,14899936,11428,,,,,,,,14887108,,,1400,,,,
,Frankreich*,263884,46498,,9420,,,40,520,113857,,91219,,2330,,,,
,Griechenland*,22155,9035,,,,,,,,,,,,,13120,,
,Grossbritannien*,11348260,33740,,2160,,,10803276,,918,,475976,,,,,32190,
,Irland*,5845,,,,,,5845,,,,,,,,,,
,Italien*,1108825,50085,,1600,1440,,,4120,,753520,,,218060,,,80000,
,Jugoslawien,29019,4019,,,,,,,,,25000,,,,,,
,Kroatien,4735,4735,,,,,,,,,,,,,,,
,Lettland,19675,2675,,,,,,,,,17000,,,,,,
,Litauen,4953,4953,,,,,,,,,,,,,,,
,Luxemburg*,12574,1204,,1230,,,,,,,,,10140,,,,
,Malta,2860,,,2860,,,,,,,,,,,,,
,Monaco,3350,3350,,,,,,,,,,,,,,,
,Niederlande*,160718,86618,,30400,,,,,,,,24000,,19700,,,
,Norwegen*,2244997,112547,,,,,,,,,2132450,,,,,,
,Österreich*,162281,38105,,,,,,,123826,,,,350,,,,
,Polen*,820244,8320,,,,,,,,,811924,,,,,,
,Portugal*,190375,190375,,,,,,,,,,,,,,,
,Rumänien,32730,31828,,902,,,,,,,,,,,,,
,Russische Föderation,151910,34855,,30855,,,,,,,,,86200,,,,
,Schweden*,806360,98258,,475900,,232202,,,,,,,,,,,
,Slowakei,10,,,,,,,,,,,,10,,,,
,Slowenien,23355,1477,,,,,,,,21878,,,,,,,
,Spanien*,591671,48208,,,,,25753,,,,355457,,98563,,,63690,
,Tschechische Republik*,150366,3510,,,,,,,146856,,,,,,,,
,Türkei*,136463,,136463,,,,,,,,,,,,,,
,Ungarn*,240,240,,,,,,,,,,,,,,,
,Total   ,46060980,1114567,136463,574137,723618,232202,16934226,18524,1213012,15662506,8581693,54199,447133,19700,173120,175880,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Afrika,Ägypten,168120,,,,,,,,,,168120,,,,,,
,Algerien,108555,,,1455,,,,,,,107100,,,,,,
,Kongo,3804,,,,3804,,,,,,,,,,,,
,Libyen,2430471,4150,,,,,,,,,2426321,,,,,,
,Marokko,96930,,,,,,,,,,96930,,,,,,
,Mosambik,3000,,,,,,,,,,3000,,,,,,
,Namibia,11323,,,11323,,,,,,,,,,,,,
,Südafrika,84610,17850,,1360,,,,,,65400,,,,,,,
,Sudan,291220,,,,291220,,,,,,,,,,,,
,Tansania,1420,700,,720,,,,,,,,,,,,,
,Tunesien,76608,,,,,,,,,,76608,,,,,,
,Total   ,3276061,22700,0,14858,295024,0,0,0,0,65400,2633351,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
Kontinent,Land,Total,ML 1,ML 2,ML 3,ML 4,ML 5,ML 6,ML 7,ML 8,ML 10,ML 11,ML 13,ML 14,ML 15,ML 16,ML 17,ML 18
,,,,,,,,,,,,,,,,,,
Amerika,Argentinien*,1580,1580,,,,,,,,,,,,,,,
,Brasilien,55800,55800,,,,,,,,,,,,,,,
,Chile,16740,,,,16740,,,,,,,,,,,,
,Ecuador,46730,46730,,,,,,,,,,,,,,,
,Kanada*,34890915,,,,,,34890857,,,,,,58,,,,
,Venezuela,45620,,,,,,,,,,45620,,,,,,
,Vereinigte Staaten von Amerika*,1561394,61481,,,,,,1780,2594,,1485626,,9913,,,,
,Total   ,36618779,104110,0,0,16740,0,34890857,0,0,0,45620,0,58,0,0,0,0
,,,,,,,,,,,,,,,,,,
Asien,Bhutan,5040,4870,,170,,,,,,,,,,,,,
,Brunei,506660,,,,,,,,,506660,,,,,,,
,Indien,4359511,11480,,,,,,,,51067,25704,3000,,,,42060,4226200
,Indonesien,6625728,,,,,,,,,6625728,,,,,,,
,Iran,17000,17000,,,,,,,,,,,,,,,
,Israel,1026874,17800,,62000,,,,,,947074,,,,,,,
,Japan*,160666,28880,,,,,,,55119,,76667,,,,,,
,Katar ,35970,5970,,,,,,,,,30000,,,,,,
,Kuwait,1071596,5230,,120,,,,,,,974428,,91818,,,,
,Libanon,7750,7750,,,,,,,,,,,,,,,
,Macao,11922,,,,11922,,,,,,,,,,,,
,Malaysia,458445,,,,,,,,,7848,92000,,,,,34000,324597
,Oman,1674200,,,,,,,,,,1674200,,,,,,
,Pakistan,303374,5200,,1824,,,,,,,296350,,,,,,
,Saudi-Arabien,5933479,,,,,,,181657,,,209772,73658,1000000,,,4468392,
,Singapur,589902,,,519903,6999,,,,,,,,,,,,63000
,Thailand,9600,9600,,,,,,,,,,,,,,,
,Taiwan,10340779,,,,8815,,,,,,,,10331964,,,,
,Vereinigte Arabische Emirate,1006907,,,,74373,,,,,,35830,,894204,,,2500,
,Total   ,34145403,108910,0,583847,102109,0,0,181657,55119,8138377,3414951,76658,12317986,0,0,4546952,4613797
,,,,,,,,,,,,,,,,,,
Australien ,Australien*,38373,2425,,,,,11248,,,,,,,24700,,,
,Total   ,38373,2425,0,0,0,0,11248,0,0,0,0,0,0,24700,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Bemerkungen: Die Länder (*) figurieren im Anhang 4 der GKV. Zahlen für diese Länder beruhen auf Angaben der Firmen über getätigte Exporte mit der Generallizenz (OGB) und den erteilten Einzelbewilligungen.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
