Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 16
Belgien ,Belgique,383'764,50'206,1'835'659,5'600,,,,157'095,,
Bosnien ,Bosnie,40'070,,,,,,,,,
Bulgarien ,Bulgarie,7'550,,87'271,2'000,,,,,,
Dänemark ,Danemark,36'126,,3'476'132,,,27'860'398,,,,
Deutschland ,Allemagne,5'894'543,3'169'071,33'585'868,611'689,5'096'652,5'862'536,58'372,2'925'662,620'141,989'068
Estland ,Estonie,8'281,,,,,,,,5'000,
Finnland ,Finlande,132'979,188'260,14'917,,,443'854,,170'932,365'299,
Frankreich ,France,517'268,140'660,3'821'806,88'551,660'178,2'388'923,,,7'683'322,
Griechenland ,Grèce,2'590,,,,,55'786,,,,147'239
Gr. Britannien ,Royaume Uni,529'054,538'825,2'102'556,,195'535,10'000,13'527,9'053'258,763'137,10'597
Irland ,Irlande,1'155,,,,,778'654,,,,
Island ,Islande,,,14'150,,,,,,,
Italien ,Italie,679'741,431'843,4'317'146,,4'698'937,,,498'587,,
Kasachstan ,Kzakhstan,81'445,,,,,,,,,
Kirgistan ,Kirghistan,990,,,,,,,,,
Kroatien ,Croatie,19'300,,,,,,,,,
Litauen ,Lituanie,13'200,,,,,,,,,
Luxemburg ,Luxembourg,74'700,,829'671,,,,,,,
Malta ,Malte,10'200,,4'690,,,,,,,
Niederlande ,Pays-Bas,1'116'015,406'797,10'679'779,,,2'000,,11'852,28'800,
Norwegen ,Norvège,458'324,,658'162,8'420,,8'015,,203'250,,
Österreich ,Autriche,265'200,2'867'316,3'870'865,,352'871,200'052,,101'160,,
Polen ,Pologne,453'490,,921'122,,,,,42'852,,
Portugal ,Portugal,19'195,,17'537,,,,,,,
Rumänien ,Roumanie,54'100,3'374'235,,,78'924,,,,500,
San Marino ,St Marin,2'120,,,,,,,,,
Schweden ,Suède,130'749,508'079,3'954'402,,3'686'747,8'710'754,,315'235,159'738,
Slowakai ,Slovaquie,50'793,,,,,,,,,
Slowenien ,Slovenie,5'300,,,,,,,,,
Spanien ,Espagne,152'005,1'439'940,1'396'528,89'170,11'105'376,707'968,,717'983,126'466,173'330
Tschechien ,Rép. Tchèque,80'973,,3'993,,,,,,,
Türkei ,Turquie,79'283,,,,400'000,,,,,
Ungarn ,Hongrie,86'970,1'132,,,,,1'950,,,
Zypern ,Chypre,930,,,,,,,,,
Aegypten ,Egypte,820'993,440'145,91'304,142'000,,,,,,
Benin ,Bénin,27'341,,6'602,,,,,,,
Botswana ,Botswana,,,,,,272'763,,,,
Burkina Fasso ,Burkina Faso,543,,,,,,,,,
Kamerun ,Cameroune,960,,25,,,,,,,
Libyen ,Libye,4'370,,501,,,,,,,
Namibia ,Namibie,560,,550,,,,,,,
Niger ,Niger,19'401,,,,,,,,,
Südafrika ,Afrique du Sud,3'475,386'066,123'700,,,,,210'388,,
Tunesien ,Tunisie,,,,,,,,,140'466,
Argentinien ,Argentine,2'475,154'910,,,68'223,,,,,
Barbados,Barbados,15'911,,,,,,,,,
Brasilien ,Brésil,5'500,,,,,,,,,
Chile ,Chili,26'700,5'355'643,265'171,,552'377,,,,7'800,
Costa Rica ,Costa Rica,21'140,,,,,,,,,
Dom. Rep. ,Rep Dom.,6'400,,,,,,,,,
Kanada ,Canada,197'045,,5'074,,,18'362,,,329'716,
Peru ,Pérou,,,,,,20'404,,,,
USA ,Etats-Unis,1'834'569,1'004'374,1'165'625,149'851,713'360,37'871,,1'490'614,21'999'907,55'692
Arab. Emirate ,Emirats Arabes,61'670,76'880,53'817,,1'088'215,,,,37'395,
Bahrein ,Bahrein,,64'272,3'540,,1'761'880,,,,158'752,
Buthan ,Bouthan,2'400,,,,,,,,,
Brunei ,Brunei,449'490,,,,,,,,,
Hongkong ,Hong Kong,34'351,,,,,,,,,
Indien ,Inde,,13'060,,,278'544,,,,,
Indonesien ,Indonésie,4'970,,,,,,,,,
Japan ,Japon,198'400,,45'865,,,,,,,
Jordanien ,Jordanie,26'141,,,,,715'920,,,36'810,
Kuwait ,Koweït,11'522,,,,,,,,,
Libanon ,Liban,15'000,,,,,,,,,
Macau ,Macau,668'550,,621'902,,,,,,,
Malaysia ,Malaisie,81'061,414'903,1'187'487,,6'988'798,,,,11'400,
Oman ,Oman,29'500,55'048,,,107'878,,,,,
Saudi Arabien ,Arab. Saoudite,823'010,772'355,1'883'000,,70'040,,,,,
Singapur ,Singapour,264'344,2'424'509,901'044,,963'669,,42'600,130'500,,
Thailand ,Thailande,,,,,277'784,,,,26'802,
Australien ,Australie,34'033,,1'034'118,28'683,,,,,4'336,
Neuseeland ,Nouvelle Zélande,14'500,,,,,,,,,
