Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,2350.0,,,,,,,,,,,,,,,,,,,,,
Argentinien,Argentine,,2079.0,,,,,,,,,,,,,,,,,,,,
Australien,Australie,275548.0,,3838524.0,,,2140481.0,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,,,,,2228230.0,,,,,,,,,,,,,,,,,
Barbados,Barbade,,,94055.0,,,,,,,,,,,,,,,,,,,
Belgien,Belgique,394055.0,,1701931.0,,,29314454.0,,1117222.0,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,21286.0,1275.0,,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,207389.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,,403080.0,,,1238805.0,8878219.0,,,,,,,,,,,,,,,,
Brunei,Brunei,,,39098.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,33853.0,3746.0,69266.0,,,,,814092.0,,,,,,,,,,,,,,
Chile,Chili,,35296.0,,,924867.0,104068.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,14672.0,3241345.0,13094805.0,,90600.0,642773.0,,758428.0,,,,,,,,,,,,,,
Deutschland,Allemagne,2790997.0,31880212.0,46145102.0,209701.0,47593337.0,106206511.0,13146.0,4647224.0,,50550.0,,,,,,56206.0,,,,,,
Dominica,Dominique,400.0,,,,,,,,,,,,,,,,,,,,,
Dominikanische Republik,République dominicaine,53347.0,,,,,,,,,,,,,,,,,,,,,
El Salvador,El Salvador,859.0,,,,,,,,,,,,,,,,,,,,,
Estland,Estonie,24791.0,,108780.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,97732.0,693140.0,47410.0,,3152.0,315088.0,,620960.0,,1368332.0,,,,,,,,,,,,
Frankreich,France,1215049.0,3138518.0,9006705.0,42806.0,233625.0,1979.0,,1347587.0,,2006552.0,,,,,,129326.0,,,,,,
Griechenland,Grèce,11194.0,4039072.0,,,2796664.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,722665.0,786397.0,10460861.0,2585406.0,521923.0,450520.0,,7401728.0,,224652.0,,,,,,,,,,,,
Hongkong,Hong-Kong,3205.0,,500.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,3646900.0,,9792.0,,3754497.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,636936.0,,35863.0,,,,,,,,,,,,,,,,,,,
Irland,Irlande,,,,,,34681.0,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,21134.0,,,,,,,,,,,,,,,,
Italien,Italie,1279097.0,14933221.0,26826116.0,,12239748.0,1167250.0,,624756.0,,24072.0,,,,,,80382.0,,,,,,
Japan,Japon,156230.0,,134975.0,,,,27644.0,,,,,,,,,,,,,,,
Jordanien,Jordanie,4029.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,639509.0,,107046.0,,,3333449.0,,,,152510.0,,,,,,,,,,,,
Kroatien,Croatie,14402.0,1575.0,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,68540.0,,,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,3745.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,5067.0,,,,,,,,,,,,,,,,,,,,,
