Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16
Belgien,Belgique,492245,,1068225,,,238958,204,,69778,,
Bulgarien,Bulgarie,11540,,,,,,,289280,,,
Dänemark,Danemark,558,37561,978,120,,66855468,,,,,
Deutschland,Allemagne,1808329,6147095,10751410,9554,837704,2798267,276,1221141,71528,,309458
Estland,Estonie,4228,242250,,,,,,,,,
Finnland,Finlande,27456,,,,,,,,677079,,
Frankreich (mit Monaco),France (comprend Monaco),230329,3000,228665,75532,,,,737114,886388,,150869
Griechenland,Grèce,,,,,28006,,,,,,
Grossbritannien,Grande-Bretagne,48023,,4257225,651840,,,5548,906239,,2000,
Irland,Irlande,185,,,,,7914118,,,,,
Island,Islande,13024,,,,,,,,,,
Italien,Italie,380972,1022677,1226159,,1477803,,,430125,,,
Kroatien,Croatie,2842,,,,,,,,,,
Litauen,Lituanie,,,3899260,,,,,,,,
Luxemburg,Luxembourg,344,,99357,,,,,,,,
Malta,Malte,,,31471,,,,,,,,
Niederlande,Pays-Bas,8324,148915,,,29500,,,77,,,
Norwegen,Norvège,57409,270000,894498,609068,47303,162731,,203440,,,
Österreich,Autriche,151158,9388,2645542,,,4348,,,,,
Polen,Pologne,25503,,,,,,,6458,,,
Portugal,Portugal,,,9366,,,,,,,,
Rumänien,Roumanie,32349,330000,,,,57520958,,,,,
Schweden,Suède,74413,63761,1218370,209480,126313,,,96750,740207,,
Serbien,Serbie,,,,,,,,,100,,
Slowakische,"Slovaquie,",,113000,107760,,,,,203,,,
Republik,République,,,,,,,,,,,
Slowenien,Slovénie,30592,,252,,,,,,,,
Spanien,Espagne,52,502187,648200,153751,54874,8229,,,43333,,
Tschechische,"Tchèque,",178862,39888,1246,9710,1830,,,,,,
Republik,République,,,,,,,,,,,
Ungarn,Hongrie,2186,,285026,,,,,92841,,,
Zypern,Chypre,803,,,,,,,,,,
Algerien,Algérie,,,1320228,,,,,,,,
Botswana,Botswana,,,,,,64144907,,,,,
Südafrika,Afrique du Sud,,8000,,,2689,,,,,,
Brasilien,Brésil,,,,,11978000,,,,,,
Kanada,Canada,125886,,,,,,,,19787,,9634
Vereinigte Staaten,Etats-Unis,2831495,4676,567256,,,,,810637,4269232,,5914
von Amerika,d'Amérique,,,,,,,,,,,
Bahrain,Bahrain,,,,,1071403,,,,460720,,
Indien,Inde,,9209,166,,,,,,,,
Indonesien,Indonésie,,50571309,,,60365894,,,,,,
Israel,Israël,,,,,,472142,,,,,
Japan,Japon,1284,,201517,,,,,,,,
Kuwait,Koweït,5180,,,,,,,,,,
Macao,Macao,25377,,,,,,,,,,
Malaysia,Malaisie,,,,,463478,,,,415582,,
Oman,Oman,,4620000,,,,,,,,,
Pakistan,Pakistan,,240948,,,4782,,,,,,
Saudi-Arabien,Arabie Saoudite,,,,,955198,,,,,,
Singapur,Singapour,78348,,,,,,,5968,,,
Thailand,Thaïlande,,,,,87043,,,,,,
Vereinigte,Emirats Arabes,5000,,,,,,,,,,
Arabische Emirate,Unis,,,,,,,,,,,
Australien,Australie,,,1388860,,,,,,400,,
Neuseeland,Nouvelle-Zélande,11683,,,,,,,,,,
