Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 11,KM 13,KM 16
Andorra,Andorre,3'454,,,,,,,,,,,
Belgien,Belgique,1'219'017,,3'021'874,,,1'174'925,1'335,588'589,69'778,,,
Bosnien-Herzeg.,Bosnie-Herzeg.,8'696,,,,,,,,,,,
Bulgarien,Bulgarie,18'410,,54'115,,,3'000'000,,2'137'191,,,,
Dänemark,Danemark,12'220,329'774,5'400'136,6'003,12'630,154'719'586,,215,,,,
Deutschland,Allemagne,7'620'844,17'468'867,54'849'388,314'549,15'012'367,11'172'342,10'427,4'328'809,595'877,19'880,2'500,414'405
Estland,Estonie,22'755,242'250,10'154'008,,,,,30,,,,
Finnland,Finlande,61'559,52'890,8'930,,,,,,4'385'602,,,
Frankreich mit Monaco,France avec	Monaco,942'951,3'000,10'652'176,2'935'995,362'440,,,1'337'720,2'725'664,,,150'869
Griechenland,Grèce,17'960,102'355,38'567,,188'270,,18'345,,,,,
Grossbritannien,Grande-Bretagne,213'838,1'134'490,5'639'536,1'523'210,504'124,750'196,12'427,4'564'799,379'335,,2'000,
Irland,Irlande,3'757,,,,,19'338'003,,,34'958,,,
Island,Islande,38'909,,,,,,,,,,,
Italien,Italie,1'248'445,3'233'549,6'577'677,,29'864'220,,,1'980'041,,,,
Kroatien,Croatie,60'600,,958,,,,,,,,,
Lettland,Lettonie,,,2'522'464,,,,,,,,,
Litauen,Lituanie,685'650,,4'156'993,,,,,,,,,
Luxemburg,Luxembourg,47'313,,99'357,,,,,,,,,
Malta,Malte,,,61'136,,,,,,,,,
Niederlande,Pays-Bas,119'080,581'104,16'458'742,349'242,52'526,403'432,,26'902,,,,
Norwegen,Norvège,153'449,910'000,8'785'438,2'402'267,139'803,162'731,,1'243'740,,51'334,,
Österreich,Autriche,1'323'712,17'998,7'709'106,5'790,,771'293,,2'002,,,,
Polen,Pologne,268'009,,92'019,,,,,272'441,,,,
Portugal,Portugal,8'719,,32'151,,,,,,,,,
Rumänien,Roumanie,57'591,330'000,9'634,,,58'727'835,,53'797,,,,
Schweden,Suède,365'520,107'707,10'919'931,2'506'795,1'653'283,21'337,,640'184,2'561'089,,,
Serbien,Serbie,,,,,,,,,100,,,
Slowakische Rep.,"Slovaquie, Rép.",19'370,716'116,539'012,,,1'719'054,,203,,,,
Slowenien,Slovénie,65'926,,234'907,,,,,,,,,
Spanien,Espagne,599,19'031'839,3'898'219,153'751,325'028,8'229,,73'024,110'795,,,
Tschechische Rep.,"Tchèque, Rép.",928'606,54'156,565'031,24'749,63'049,,,155'882,218'735,,,
Türkei,Turquie,21'850,,,,,,,,,,,
Ungarn,Hongrie,2'186,,6'540'739,21'085,,,,172'842,,,,
Vatikan,Vatican,,,4'800,,,,,,,,,
Zypern,Chypre,803,,,,,,,,,,,
Algerien,Algérie,,,1'419'138,,,,,,,,,
Botswana,Botswana,,,,,,84'894'210,,,,,,
Mali,Mali,,,18'281,,,,,,,,,
Südafrika,Afrique du Sud,,26'169,94'640,,11'445,,,430'330,,12'380,,
Argentinien,Argentine,445'334,,,,,,,,,,,
Brasilien,Brésil,5'474,,,,30'219'930,,,,17'700,,,
Chile,Chili,2'823,727'923,,,244'826,,,,,,,
Kanada,Canada,881'457,270,75'930,,45'000,158'074,,,57'884,,,9'634
USA,USA,17'240'834,51'792,3'747'212,,34'824,,72,2'766'880,19'872'715,,,5'914
Bahrain,Bahreïn,13'744,235'956,13'450,,1'263'718,,,,3'073'224,,,
Indien,Inde,,9'209,593,,,,,,,,,
Indonesien,Indonésie,14'535,50'927'710,289'423,,60'398'226,,,,,,,
Israel,Israël,,,,,,1'008'608,,,,,,
Japan,Japon,12'994,,462'496,,,,,,,,,
Katar,Qatar,1'649,1'511,,,105'690,,,,,,,
Korea (Süd),Corée (Sud),11'475,799'294,26'273,,21'514,,,,,,,
Kuwait,Koweït,33'267,,,,,,,,,,,
Macau,Macao,25'466,,,,,,,,,,,
Malaysia,Malaisie,,,3'410'354,,463'478,,303'756,,2'805'826,,,
Oman,Oman,1'600,5'998'989,23'455'569,,5'072,,,,,,,
Pakistan,Pakistan,,240'948,,,250'813,,,,,,,
Saudi-Arabien,Arabie Saoudite,,447'910,,,9'776'515,,,,,,,
Singapur,Singapour,78'348,,768'783,,,,,5'968,,,,
Thailand,Thaïlande,,5'435,,,282'754,,,,,,,
VAE,EAU,230'632,945'419,,,1'148'190,,,,,,,
Australien,Australie,31'640,1'126,9'509'630,,,,,,400,,14'962,
Neuseeland,Nouvelle-Zélande,92'594,,,,,,,,,,,
