Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM11,KM13,KM16
Belgien,Belgique,79771,12500,966343,,,1513027,,301607,56310,,4412,
Bulgarien,Bulgarie,,,,,,,,733616,,,,
Dänemark,Danemark,,141940,95909,,2657,11940885,,,,,10162,
Deutschland,Allemagne,2373498,2824749,10716057,280727,4077746,3040837,152,1211257,93506,,20023,138405
Estland,Estonie,18651,,2790360,,,,,15,,,,
Finnland,Finlande,3004,,,,,,,,1201730,,,
Frankreich (mit Monaco),France (comprend Monaco),430148,,1595390,,,76818,,288711,863126,,,
Griechenland,Grèce,2541,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,61577,,131970,647766,92000,,,170534,,,,
Island,Islande,2955,,,,,,,,,,,
Italien,Italie,93945,8200,390992,,2292372,,,835473,,,,
Litauen,Lituanie,8,,6641,,,,,,,,,
Luxemburg,Luxembourg,3256,,,,,,,,,,,
Malta,Malte,14391,,,,,,,,,,,
Niederlande,Pays-Bas,52202,336041,3428878,,,201851,,7400,,,,
Norwegen,Norvège,48387,,1005635,,789000,,,762640,,100455,,
Österreich,Autriche,351269,9860,173964,3797,,,,,,,,
Polen,Pologne,86823,,,,,,,36144,,,,
Portugal,Portugal,5282,,,,,,,,,,,
Rumänien,Roumanie,,,,,,68166453,,6707,,,,
Schweden,Suède,703544,20000,23163,106638,,,,719426,681979,,,
Serbien,Serbie,,,,,,,,299716,,,,
Slowakische Republik,"Slovaquie, République",,62118,114669,,,,,3238,,,,
Slowenien,Slovénie,16031,,,,,,,,,,,
Spanien,Espagne,49337,100795,3832046,,29848,11530,,,22102,,,
Tschechische Republik,"Tchèque, République",470128,2656,,10501,,,,31208,,,,
Ungarn,Hongrie,,,1760687,,,,,,,,,
Zypern,Chypre,8876,,,,,,,,,,,
Botswana,Botswana,,,,,,34433379,,,,,,
Südafrika,Afrique du Sud,,,14400,,709,,,,,,,
Tunesien,Tunisie,,,,,,,,,46440,,,
Brasilien,Brésil,,603940,,,,,,,203072,,,
Kanada,Canada,602351,18776,42577,,,41522,,,,,,
Uruguay,Uruguay,4133,,,,,,,,,,,
Vereinigte Staaten von Amerika,Etats-Unis d'Amérique,5715198,,3777960,,,1639,,383799,4283971,,,7390
Bahrain,Bahrain,5160,,,,,,,,851753,,,
Bangladesch,Bangladesh,,64449,,,241074,,,,,,,
Indien,Inde,4,,,,,,,,,,,
Indonesien,Indonésie,347,,,,,,,,,,,
Japan,Japon,13984,,,,,,,,,,,
Jordanien,Jordanie,400,,,,,,,,,,,
Kuwait,Koweït,4600,,,,,,,,,,,
Macao,Macao,10071,,,,,,,,,,,
Malaysia,Malaisie,,,,,,,,,2027023,,,
Oman,Oman,,52223,14946,,120977,,,,,,,
Pakistan,Pakistan,,154976,,,885222,,,,,,,
Qatar,Qatar,22928,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,501161,538272,,6409745,,,,,,,
Vereinigte Arabische Emirate,Emirats Arabes Unis,,1010858,,,1904060,,,,,,,
Australien,Australie,37961,,1978927,,,,,,,,,
Neukaledonien,Nouvelle-Calédonie,991,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,7506,,,,,,,,,,,
