Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 11,KM 13,KM 16,KM 17,KM 19,"KM 12, 14, 15, 18 – 22"
Andorra,Andorre,3'652,,,,,,,,,,,,,,
Belgien,Belgique,326'735,149'350,4'755'092,,,15'554'316,3'238,418'539,489'194,,204'469,,,,
Bulgarien,Bulgarie,16'107,,,,,,,1'515'443,,,,,,,
Dänemark,Danemark,20'391,1'005'934,121'686,201'596,2'657,94'612'246,,42'818,,,23'842,,,,
Deutschland,Allemagne,9'022'002,10'737'661,71'916'383,558'210,13'612'498,9'327'027,1'168,4'747'191,424'286,125'449,91'242,253'646,8'495,2'555'000,
Estland,Estonie,46'397,740'750,2'819'777,,,,,15,,,,,,,
Finnland,Finlande,78'329,,386'027,,42'571,66'998,,,3'243'105,,96'000,,,,
Frankreich,France,1'589'558,1'281'937,5'421'927,2'526'176,540'000,76'818,,2'604'231,3'419'470,,,,,,
Griechenland,Grèce,11'535,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,238'299,1'229,136'502,2'391'606,2'105'568,20'000,,3'363'098,60'505,,,,,,
Irland,Irlande,7'575,44'000,,,,19'094'672,,,211'629,,,,,,
Island,Islande,62'102,892,,,,,,,,,,,,,
Italien,Italie,742'857,971'510,1'986'946,,10'313'810,,,1'349'335,,,,112,,,
Kosovo,Kosovo,,,5'920,,,,,,,,,,,,
Kroatien,Croatie,60'946,,,,,,,,,,,,,,
Lettland,Lettonie,9'368,,11'910,,,,,,,,,,,,
Litauen,Lituanie,33'818,,2'698'051,,,,,,,,,,,,
Luxemburg,Luxembourg,41'487,,31'790,,,,,,,,,,,,
Malta,Malte,18'407,,,,,,,,,,,,,,
Niederlande,Pays-Bas,193'568,3'652'087,3'678'496,,68'757,374'980,,7'454,,,,,,,
Norwegen,Norvège,94'361,,7'340'823,,882'856,10'832,,1'539'640,,188'487,,,,,
Österreich,Autriche,2'815'531,3'337'825,4'190'959,3'774,1'550'000,1'025'560,,1'993,,,,,,,
Polen,Pologne,222'421,,66'848,,,,,67'747,,,,,,,
Portugal,Portugal,5'282,,24'913,,,,,,,,,,,,
Rumänien,Roumanie,12'798,,35'523,,,86'866'899,,152'438,,,,,,,
Schweden,Suède,1'627'695,244'536,294'896,1'608'615,538'423,142'045,,1'460'348,1'209'880,,,,,,
Serbien,Serbie,,,,,,,,299'716,268'154,,,,,,
Slowakische Rep.,"Slovaquie, Rép.",44'424,771'274,425'576,,,4'600'000,,3'238,,,,,,,
Slowenien,Slovénie,133'067,,907'623,,,,,,,,,,,,
Spanien,Espagne,97'982,5'697'851,10'824'713,,1'722'193,11'530,,63'816,57'164,,,,,,
Tschechische Rep.,"Tchèque, Rép.",1'313'188,17'872,292'324,15'751,56'246,,,57'602,120'001,,,,,,
Türkei,Turquie,8'485,,,2'640'000,,,,,,,,,,,
Ungarn,Hongrie,22'776,,12'954'392,,,,15'590,30'205,,,,,,,
Vatikan,Vatican,16'225,,773,,,,,,,,,,,,
Zypern,Chypre,8'876,,26'769,,,,,,,,,,,,
Algerien,Algérie,,,1'282'176,,,,,,,,,,,,
Botswana,Botswana,,,,,,63'466'976,,,,,,,,,
Djibouti,Djibouti,,458'800,,,,,,,,,,,,,
Südafrika,Afrique du Sud,,1'029'343,14'400,,4'653,,,468'914,,,,,,,
Tunesien,Tunisie,,,,,,,,,4'574'586,,,,,,
Brasilien,Brésil,19,535'460,662'510,,603'940,,,,1'603'302,,,,,,
Chile,Chili,,16'161,,,514'770,327'847,,,,,,,,,
Kanada,Canada,1'928'577,40'134,451'001,,,484'903,,,1'485'719,,,,,,
Mexiko,Mexique,,,,,,,,,6'400,,,,,,
Uruguay,Uruguay,4'133,,,,,,,,,,,,,,
USA,USA,34'672'919,1'265'304,31'715'770,,52'082,61'651,1'002,1'984'502,20'349'389,,,64'373,,,
Bahrain,Bahreïn,5'160,,,,851'613,,,,3'734'361,,,,,,
Bangladesch,Bangladesh,,188'799,,,250'579,,,,,,,,,,
Hongkong,Hongkong,,,250,,,,,,,,,,,,
Indien,Inde,4,,,,,,,,,,,,,,
Indonesien,Indonésie,41'928,374'533,59'522,,917'824,,,,,,,,,,
Israel,Israël,,,,,1'139'000,58'826,,,,,,,,,
Japan,Japon,248'462,,394'154,,,,,,,,,,,,
Jordanien,Jordanie,700,,,,,,,,,,,,,,
Katar,Qatar,22'928,,2'181'617,,,,,,,,,,,,
Korea (Süd),Corée (Sud),127'700,254'850,66'713,,,,,,,,,,,,
Kuwait,Koweït,7'245,,,,,,,,,,,,,,
Macau,Macao,13'290,,14'856,,,,,,,,,,,,
Malaysia,Malaisie,,,,,,,,,3'959'395,,,,,,
Oman,Oman,2'900,420'069,4'129'041,,120'977,,,,,,,,,,
Pakistan,Pakistan,,260'868,,,2'706'392,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,1'007'431,3'459'052,,46'900'258,,,,,,,,,,
Singapur,Singapour,9'100,,809'855,,,,,3'072,,,,,,,
VAE,EAU,1'091'413,1'182'594,,,3'941'327,,,,,,,,,,
Australien,Australie,98'584,3'663,8'597'289,,,,,,,,,,,,
Neukaledonien,Nouvelle-Calédonie,991,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,90'087,4'469,,,,,,,,,,,,,
