Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 11,KM 13,KM 16,KM 19
Albanien,Albanie,232379,,,,,,,,,,,,
Belgien,Belgique,912192,25751,1998274,127257,,7618806,223,785167,953289,,1943,,
Bosnien-Herzegow.,Bosnie-Herzégovine,167682,,,,,,,,,,,,
Bulgarien,Bulgarie,112486,,,,,,,2493500,,,,,
Dänemark,Danemark,78445,307884,18564253,,43641,54570773,,46817,,,,,
Deutschland,Allemagne,8955288,14411917,98114197,516403,19467341,15800631,5270,8037704,645032,200175,55625,346091,1985000
Estland,Estonie,25366,,8390603,,284634,,,,,,,,
Finnland,Finlande,133030,,11204604,,,110921,,10000,3762228,,94523,,
Frankreich,France,1095064,1258196,5338915,2033144,539838,10490,,768640,5242772,2947,,,
Griechenland,Grèce,28022,5020000,,,,9995,,,,,,,
Grossbritannien,Grande-Bretagne,1835834,800,4899990,13658762,675496,,,6392592,463275,,,,
Irland,Irlande,47466,71469,3336,,34334,1702855,,,364195,,,,
Island,Islande,27816,,,,,,,,,,,,
Italien,Italie,632683,18932414,3013177,150,15125238,325000,,167434,,,,,
Kroatien,Croatie,4450,,51553,,,,,,,,,,
Lettland,Lettonie,90127,,3881131,,,,,12143,,,,,
Litauen,Lituanie,96834,,2919,,,,,,,,,,
Luxemburg,Luxembourg,78911,1100,40692,,,,,,,,,,
Malta,Malte,39528,,,,,,,,,,,,
Niederlande,Pays-Bas,586301,50366,26230780,1542156,55000,816228,,7855,,,110040,,
Norwegen,Norvège,161725,650,14989265,,409860,,,2049643,,96602,,,
Österreich,Autriche,927736,,4786695,9390,,129613,,43,,,,,
Polen,Pologne,1041361,9663,8982887,,,,,4267583,,,,,
Portugal,Portugal,1225,,70257,,,,,,,,,,
Rumänien,Roumanie,87438,,44862,,,39590237,,,,,,,
Schweden,Suède,947668,141812,2012682,7892716,1707120,13859764,,375818,443613,,,,
Serbien,Serbie,544707,,,,,,,,,,,,
Slowakische Rep.,"Slovaquie, Rép.",194178,,148203,,,,,,,,,,
Slowenien,Slovénie,454162,,430418,219108,,,,,,,,,
Spanien,Espagne,31109,618483,3709979,,710966,617382,12319,,272484,,,,
Tschechische Rep.,"Tchèque, Rép.",756557,11606,381180,14332,34860,,,,3325492,,,,
Türkei,Turquie,8185,,,,,,,,,,,,
Ungarn,Hongrie,23890,,7605875,,,36431,,445,,,,,
Zypern,Chypre,2747,,,,48710,,,,,,,,
Botswana,Botswana,,,,,,1126529,,,,,,,
Südafrika,Afrique du Sud,,112795,,,12065,,,21780,,,,,
Amerik. Jungfernins.,"Vierges (E-U), Iles",21245,,,,,,,,,,,,
Brasilien,Brésil,,,,,,,,9386,678552,,,,
Chile,Chili,,524356,,,308247,211083,,,,,,,
Kanada,Canada,2346208,3188,1948756,,4920588,15450,,100,1450216,,,,
Paraguay,Paraguay,,,80961,,,,,,,,,,
USA,USA,19494018,3380792,10396716,,108600,87487,1312,1800985,18982151,,,97744,
Bahrain,Bahreïn,12713,,,,364578,,,,858569,,,,
Bangladesch,Bangladesh,,55162,,,49256,,,,,,,,
"Georgien, Rep.","Géorgie, Rép.",3400,,,,,,,,,,,,
Indonesien,Indonésie,499,26618,,,388300,,,,,,,,
Israel,Israël,,,,,,88367,,,,,,,
Japan,Japon,208348,4840,2421105,,50000,3929732,,,,,,,
Katar,Qatar,,1625907,,,763475,,,,,,,,
Malaysia,Malaisie,,,1227000,,60956,,,,9472818,,,,
Oman,Oman,,89640,1133442,,314274,10047,,,,,,,
Pakistan,Pakistan,,3242919,,,1385722,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,627618,39950500,,12743596,,,,,,,,
Singapur,Singapour,21232,,731358,,,,,50775,,,,,
Südkorea,Coréé du Sud,560661,212335,1143003,,,,,,,,,,
VAE,EAU,1466204,1258827,1118,,3331018,,,,,,,,
Australien,Australie,65372,3630,7925560,,,,,439845,,,,,
Neuseeland,Nouvelle-Zélande,94739,,680,,,,,,,,,,
