Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF],,
8007724,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i,38330,,
8007844,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,4546,,
8007844,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,122287,,
8007844,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,5000,,
8006915,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i,132777,,
8006792,Ägypten,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,453,,
8006792,Ägypten,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,776,,
8006402,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5B001.a,1660000,,
8006496,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,183863,,
8007768,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,4500,,
8006757,Algerien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,115300,,
8006700,Algerien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,115000,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,87.8,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,112.45,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,114,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,72.4,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,25.4,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,98.6,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,77,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,116.7,,
8007329,Armenien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,110.15,,
8007329,Armenien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.20,91.7,,
8006980,Aserbaidschan,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,32000,,
8006749,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A233,435000,,
8006512,Bahrain,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,64377,,
8006512,Bahrain,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,17387,,
8006420,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,148300,,
8006420,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,148300,,
8007812,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,22889.9,,
8006538,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.b,79425,,
8008113,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4720,,
8008113,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4720,,
8008113,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,15369.5,,
8008113,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3074,,
8006481,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1090,,
8008180,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,286,,
8007569,Belgien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.c,455,,
8007569,Belgien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.c,575,,
8007569,Belgien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.c,640,,
8007168,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,782,,
8007168,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,415,,
8007168,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,415,,
8007168,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,677,,
8007155,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,194,,
8007155,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,205,,
8007155,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,435,,
8006458,Belgien,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,2000,,
8007826,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,308,,
8007826,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,194,,
8006830,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8007502,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,248,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,489.6,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,97.9,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,271.2,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,97.9,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8006590,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8007831,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,165,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,97.9,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,97.9,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,489.6,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,108.45,,
8006412,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,271.2,,
8007167,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,30000,,
8007781,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,11000,,
8007466,Bosnien-Herzegowina,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,2B.4,727.65,,
8007706,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G2,776,,
8007218,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55,,
8007128,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,43200,,
8008144,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4264,,
8007016,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,530000,,
8007020,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,617500,,
8007067,Brasilien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",206620,,
8007748,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1a,34440,,
8007246,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,923.8,,
8007242,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,21472,,
8006600,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g3,1300,,
8006600,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G1,1500,,
8006539,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,3000,,
8006534,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f1,3000,,
8007663,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,585,,
8007207,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,16856,,
8007413,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,139288,,
8006750,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",4291980,,
8008211,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2D002,14362.05,,
8008196,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,6300,,
8008191,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,185187,,
8008068,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6a,47727,,
