Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8010146,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,4000
8011102,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d1,120000
8011102,Ägypten,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML13.d1,120000
8010346,Ägypten,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,5040
8011298,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,12476
8010530,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,1150.93
8010790,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A.1,4000
8010761,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,53000
8010717,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A.1,4000
8012038,Algerien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML14,280000
8010832,Aserbaidschan,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,614100
8010649,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C001.B,5
8010250,Australien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML11.a,747
8010216,Bahrain,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,137333
8011870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2606
8011870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2085
8011870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1500
8011870,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2335
8010571,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002,45120
8010355,Belarus,Nukleargüter,Einzelbewilligung,Ausfuhr,0C003,31728.5
8011566,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,185
8008856,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7064
8008856,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,790
8010551,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,127
8010551,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,194
8010551,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,124
8010551,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,114
8010551,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,286
8011057,Belgien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,381.05
