Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8016946,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,3855.91
8016946,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,274.44
8016913,Algerien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,340000
8017567,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,45616
8017567,Algerien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,10925
8015991,Argentinien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,100
8015991,Argentinien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,100
8015991,Argentinien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,80
8015991,Argentinien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,31
8016374,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",88020.4
8016254,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",22695.4
8016254,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",82456.8
8016242,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3427
8016242,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1680
8016242,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2335
8016242,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1440
8016242,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,9054
8016483,Bangladesch,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,69710
8017584,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,283970
8017583,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",258768
8017333,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2969
8017333,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8825
8017333,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1869
8016470,Belgien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,2B.4,75.85
8015059,Belgien,Nukleargüter,Einzelbewilligung,Ausfuhr,0A001.d,22000
8016882,Bolivien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",5214
8016882,Bolivien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",3693
8016882,Bolivien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",4997
8016882,Bolivien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",11948
8016882,Bolivien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",4997
8016997,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",27348
8016883,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",71000
8016298,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7504
8016905,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,9606.55
8017911,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1533
8017914,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,3435
