Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8023242,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C111.a2a
1C011.a",80337.14
8023987,Australien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,10643.11
8023987,Australien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,1
8023986,Australien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,422
8024040,Australien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,407.93
8023684,Bahrain,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,1978.4
8023848,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8952
8023848,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8952
8023848,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8952
8023848,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8952
8023848,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8952
8023765,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1334
8023765,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,177
8023148,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",693235
8023151,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.b,294800
8023661,Belarus,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,691.14
8023237,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,5918
8024018,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,85.73
8024170,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,117.93
8024170,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,117.94
8024170,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,117.93
8023243,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,195.1
8023243,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,656
8023769,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.b.2,528339
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,44250
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,71000
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,5320
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,17700
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,29500
8021387,Brasilien,Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,43200
8023371,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,119.74
8023688,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G2,3616
8023145,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,478.96
8023145,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,214.29
8024097,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.G,318
8023098,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,121.66
8023098,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,121.66
8023098,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,121.66
8023098,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,121.66
8023099,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C351.d11,119.74
8023847,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023844,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023845,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023843,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023842,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023840,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023839,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023852,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023853,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8023598,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2882
