Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer (EKN),Wert (CHF)
8021839,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,31284
8022934,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.b,3984
8026488,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,120000
8026489,Ägypten,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,150000
8026549,Ägypten,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",2990
8027092,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,7225
8026465,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",26447
8026910,Australien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,2401
8027223,Bahamas,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,855
8026379,Bahrain,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7600
8027188,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C233,10000
8027359,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,480
8026897,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C233,2000
8026806,Belarus,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C231,2190
8027258,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4585
8027258,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1760
8027258,Belarus,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2000
8026886,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,16758
8026539,Belgien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.b
2B201.a",295780
8026938,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,175000
8026896,Bosnien-Herzegowina,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i6,476.65
8022155,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,168946.3
8027096,Brasilien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,13289.1
8026934,Brasilien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML18.a,4413.16
8027027,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,515
8027027,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1910
8027027,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1910
8027166,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C010.b,21689.2
8026386,Brasilien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3870
8026607,Brasilien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",235601
8026413,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,4550
8026413,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,7940
8026775,Bulgarien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.c
2B201.b",10950
8027280,Chile,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,320
8027224,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,855
8026351,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8928
8026364,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",3252
8026363,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",12940
8027173,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,18054.85
8026492,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,69913
8027236,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,880
8027243,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001
2B001.c",110000
8027240,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,226800
8026546,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,3B001.e,3260075
8026574,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,30450
8025045,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,17000
8025045,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,25000
8025045,"China, Volksrepublik",Nukleargüter,Einzelbewilligung,Ausfuhr,0B001.b141b,25000
8027142,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,178710
8027135,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,15631
8026558,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",453922
8027350,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,4806
8027350,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,7500
8027018,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,231722
8027102,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a
2B001.b",519998
8025375,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",308888
8027308,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,600000
8027308,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,600000
8027307,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a5b,45017
8027309,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,541000
8026936,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,998850
8027306,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",145847.25
8027090,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",1066000
8027303,"China, Volksrepublik",Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,445.63
8027103,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,394000
8026699,"China, Volksrepublik",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,130295
8027411,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2b201.a1,227288
8026879,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,189000
8026961,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",86333.6
8026960,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,8379
8026444,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.a",463000
8027180,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",349497
8026645,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,7A003.c1,636936.33
8026441,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",1291371
8026664,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",808000
8027120,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,620000
8027118,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,6A003.b4a,13500
8026537,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,54530
8026534,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,2232930
8027168,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.h.1.d,6095
8027121,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,640000
8021526,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a.1
2B001.b.2",425309
8027404,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a1
2B001.b2",1660000
8026312,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,412000
8027402,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.A2C,896700
8026504,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,229846
8027005,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.d,211018
8027382,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,57387
8027382,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,33900
8026726,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,19962
8026992,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,4321
