Geschäftsnummer,Bestimmungsland,Position / Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8029701,Angola,Dual Use Güter,Einzelbewilligung,Ausfuhr,9A004.c,2204675
8030209,Armenien,Bewilligungspflicht nach Art. 3 Abs. 4 GKV,Einzelbewilligung,Ausfuhr,Catch-all,1240.9
8029649,Äthiopien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a,3000
8029481,Australien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",80513.4
8029624,Bangladesch,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,390897
8029804,Belarus,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2D002",38567.55
8029628,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A.1,21420
8030026,Belgien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,160600
8029720,Benin,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.A1,3546
8029634,Bosnien-Herzegowina,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,12000
8029863,Bosnien-Herzegowina,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",19800
8029797,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C010.b,30331.5
8029979,Brasilien,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,213214
8029608,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1092.36
8029232,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,48340.15
8029404,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,25000
8030020,Brasilien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.h6,46100
8029494,Bulgarien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,140400
8029660,Chile,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.a,3800
8030173,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8030176,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8029396,Chile,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606.55
8029333,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
8029530,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,91856
8028141,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.C,325450
8028782,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B120,2535866
8030234,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,459673
8029533,"China, Taiwan",National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8246
8029527,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,23436
8029703,"China, Taiwan","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",25000
8029783,"China, Taiwan",Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,24666
8030331,"China, Taiwan","Chemikalien CWÜ
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3B.14
1C350.9",6468
8029662,"China, Taiwan",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i10,39810
8029490,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",278055
8029659,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a1
2B001.a2",801924
8021635,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",932780
8030074,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",1870515
8029645,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",269220
8029587,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,46797
8029965,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",937502
8029588,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b.2
2B201.a.1",278055
8029751,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.64,5168.8
8029579,"China, Volksrepublik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b2
2B201.a1",768220.6
8030039,"China, Volksrepublik",Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,239537
