Geschäftstyp,Bewilligungsnummer,Richtung,Bewilligungsdatum,Bestimmungsland,Catch-All,AG (GKV),MTCR (GKV),NSGI (GKV),NSGII (GKV),WA (GKV),ML (GKV),Anhang 5.1,Anhang 5.2,Anhang 5.3,ChKV,Wert
DUAL_USE,43700,EXPORT,10-02-97,Deutschland,,,,,2B201.1,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43703,EXPORT,10-06-97,Indien,,,,,,(7B003),,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43702,EXPORT,10-06-97,Kenia,,2B350.g2,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43706,EXPORT,10-06-97,OECD-Staaten,,,,,(2B001.a),,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43708,EXPORT,10-06-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43704,EXPORT,10-06-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43704,EXPORT,10-06-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43705,EXPORT,10-06-97,Großbritannien (Vereinigtes Königreich),,,,,,3A002.g1,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43707,EXPORT,10-06-97,Deutschland,,,,,1C216,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43701,EXPORT,10-06-97,Mexiko,,2B352.b,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43710,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43712,EXPORT,10-07-97,Großbritannien (Vereinigtes Königreich),,,1C111.a2d,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43714,EXPORT,10-07-97,Belgien,,,,,,5B001,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43709,EXPORT,10-07-97,Vereinigte Staaten,,,,,2B201.b1,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43711,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43711,EXPORT,10-07-97,Irak,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43713,EXPORT,10-07-97,Großbritannien (Vereinigtes Königreich),,,1C111.a2d,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43716,EXPORT,10-08-97,Pakistan,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43716,EXPORT,10-08-97,Pakistan,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43717,EXPORT,10-08-97,Algerien,,,,,,SL5A002.c,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43718,EXPORT,10-08-97,Frankreich,,,,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43715,EXPORT,10-08-97,Slowenien,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43723,EXPORT,10-09-97,Singapur,,,,,,3A002.g1,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43722,EXPORT,10-09-97,Philippinen,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43721,EXPORT,10-09-97,Peru,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43720,EXPORT,10-09-97,Großbritannien (Vereinigtes Königreich),,,1C011.a,,,,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
DUAL_USE,43719,EXPORT,10-09-97,Peru,,,,,,SL5A002.a,,,,,,"_ ""c12f"" * #,##0.00_ ;_ ""c12f"" * -#,##0.00_ ;_ ""c12f"" * ""-""??_ ;_ @_"
