,km1,km2,km3,km4,km5,km6,km7,km8,km10,km16
Albanien,,,77609,,,,,,,
Belgien,392066,,1065999,,,126288,,85196,1082883,
Bosnien und Herzeg.,23997,1124,3473,,,,,,,
Bulgarien,,,95248,,,,,5968184,,
Dänemark,15189,1468771,766384,,,2807838,,180110,,
Deutschland,8203497,16030288,78299987,99444,1746433,8925817,1371,3300492,1098378,3364
Estland,35430,,363858,,,,,4222484,,
Finnland,94364,119279,14306,,,,,,233400,
Frankreich,2099515,1261295,3898591,134431,,442000,1678,222937,3437006,
Griechenland,1985,,,,,,,76562,,
Grossbritannien,108985,,1705736,16290,214504,385000,,1696582,157117,
Irland,56465,33832,,,,,,,5539750,
Island,7176,,1405,,,,,,,
Italien,862085,165712,905943,,5527497,,,829973,2640,12200
Kosovo,,,17851,,,,,,,
Kroatien,6058,,16195,,,,,1183200,,
Lettland,11875,,37110,,,,,,,
Litauen,784178,22000,333262,,,,,,,
Luxemburg,27534,,221506,,,,,,,
Malta,31480,1000,,,,,,,,
Niederlande,324024,55650,30500,3606,144072,575510,,13444,,
Norwegen,174851,9996,6352045,,2808,1413853,,3331495,,
Österreich,1026114,10000,6571595,,,86672,,4932,,
Polen,391789,180775,235925,,,,,75199,,
Portugal,37845,,31320,,,,,,,
Rumänien,,,27323,,101541,688554,,,,
Schweden,427276,86430,8243346,855160,556904,47518,,561500,1893451,
Slowakei,127642,19907,12111,,,,,23598,,
Slowenien,13115,,,,,,,,,
Spanien,20076,2821594,778638,,780042,4905195,,44428,331779,
Tschechische Rep.,1030533,50419,522215,53856,1620,22081,,32291,,
Türkei,2786,56247,,,584868,,,,,
Ungarn,299129,,5835662,,,,,244826,,
Zypern,3966,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Südafrika,54765,5710300,297588,,26184741,,,430690,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aruba,7720,,,,,,,,,
Brasilien,,13410,,,32881593,,,25900,,
Chile,9734,200049,,,39085,18473,,,,
Kanada,1050492,14961,67760,1388490,,404604,,,339494,
Paraguay,,,14256,,,,,,,
U.S.A,4284135,97894,8487160,,831913,,450,931061,12970227,
,,,,,,,,,,
,,,,,,,,,,
Arabische Emirate,396201,959764,,,1281094,575683,,,,
Bahrain,20436,136388,308,,263650,,,,,
China,344146,,,,,,,,,
Georgien,2424,,,,,,,,,
Hongkong,8423,,500,,,,,,,
Indien,55491,,,,8888226,,,,,
Indonesien,,179045,48,,99080,,,,57241,
Israel,,,,,,6888,,,,
Japan,25325,,111663,,,,,,,
Jordanien,,,,,,,,,4439,
Katar,88381,,,,,140000,,,,
Korea (Süd),11608,653997,81805,,,,,8208,,
Kuwait,93864,,,,,,,,,
Libanon,86416,,,,,,,,,
Macau,3930,,,,,,,,,
Malaysia,,32025,2192200,,474104,,,46500,,
Oman,8200,38421,4169135,,3372555,45055,,1188,,
Pakistan,,4199742,195000,,2241762,,,,,
Saudi-Arabien,,903920,75480,,3797964,,,,,
Singapur,10589,22694,2685922,,109159,214849,,103043,,
Thailand,,,1594114,,86055766,,,,,
,,,,,,,,,,
,,,,,,,,,,
Australien,38376,,13670,,,49361,,3930,,
Neuseeland,135254,,,,,,,,,
