,km1,km2,km3,km4,km5,km6,km7,km8,km10,km13,km16,km21
Belgien,496575,1204,3410807,1359,,604178,8588,1365725,,1947014,,
Bulgarien,4841,,3629,,,,,4866401,,,,
Dänemark,38823,1054612,13321518,,,59035066,,45465,,,,
Deutschland,8554638,13634130,67997491,262599,4264898,18729832,1492,4209472,93359,,301066,
Estland,42165,,9350678,,,,,90,,,,
Finnland,165979,7560,355,,,795068,,,7600664,,,
Frankreich,1263143,8299,8666245,2767998,,,,987067,3859237,,92760,
Griechenland,26897,,,,994,,,,,,,
Grossbritannien,619525,12632,1325564,190660,1604654,,4419,1591648,1101302,,,
Irland,8970,40800,,,,17178079,,,20375,,,
Island,4270,2481,,,,,,,,,,
Italien,1117383,9689049,660088,,7865447,5100,,256207,,,,
Kroatien,67053,,,,,,,,,,,
Lettland,9492,,987,,,,,,,,,
Litauen,699384,10669,123201,,,,,,,,,
Luxemburg,24315,,88544,,,,,,,,,
Malta,9780,,5000,,,,,,,,,
Niederlande,432397,10072422,5659517,,,690599,,33029,,,,
Norwegen,153420,,7263839,2620,58299,161933,,1236300,,,,5480
Österreich,2565747,12900,12394215,,,,,2437,,,44386,
Polen,267131,89336,78420,,,242263,,98832,,,,
Portugal,6886,,69180,,,,,,,,,
Rumänien,437,23310,1952,,,22454665,,22340,,,,
Schweden,255969,49811,8941442,2344930,504814,290363,,419750,3868831,,,
Serbien,1230,,,,,,,3133,,,,
Slowakei,8602,,45204,,,,,1270,,,,
Slowenien,28058,,,,,,,,,,,
Spanien,26058,2981069,2248391,,424077,4799703,,141892,329623,,,
Tschechische Rep.,1310007,65880,4449736,11970,,,,259107,981046,,,
Türkei,4800,,,,91125,,,,,,,
Ungarn,297643,162987,1782337,16250,,,,147140,,,,
Vatikan,100,,9846,,,,1250,,,,,
Zypern,2656,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kamerun,920,,,,,,,,,,,
Seychellen,6230,,,,,,,,,,,
Südafrika,1892,234694,322,,29098,,,805745,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Argentinien,,,,,4279648,,,,,,,
Brasilien,975,,,,,,,26425,,,,
Chile,4315,,,,930170,11382,,,,,,
Dominikanische Rep,26296,,,,,,,,,,,
Kanada,1586936,587739,102505,,,94971,,,63589,,16146,
Mexiko,,,,,,,,,3851317,,,
Paraguay,,,240882,,,,,,,,,
U.S.A,6341291,289457,6044016,12157292,28176,,1938,1827284,25249428,,6839,
,,,,,,,,,,,,
,,,,,,,,,,,,
Arabische Emirate,244693,6856,8952229,,554527,,,,,,,
Bahrain,19215,18200,,,101807,,,,2862195,,,
Hongkong,,,250,,,,,,,,,
Indien,914783,,82575,,713598,,,,,,,
Indonesien,,104241,3100988,,99800,,,,,,,
Israel,,,,,,33707,,,,,,
Japan,8673,25500,838138,,,,,,,,,
Jordanien,11314,,,,,,,,,,,
Korea (Süd),27795,164459,149328,,749315,,,,,,,
Kuwait,183276,,,,,,,,,,,
Macau,5019,,,,,,,,,,,
Malaysia,,47764,,4974976,7076444,,,,3527501,,,
Oman,6000,4370597,1834422,,86143,,,,,,,
Pakistan,985,7774401,,,3165042,,,,,,,
Qatar,182502,,,,,,,,,,,
Saudi-Arabien,,10575,,,2223030,,,,,,,
Singapur,14250,38043,217389,,17370,13800,,1432,,,,
Thailand,,608,3665711,,46640,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Australien,8190,,13103,,,,,,,,,
Neuseeland,60418,3360,153,,,,,,,,,
