Kontinent,Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16,Total
Continent,,,,,,,,,,,,,,
Total,,,21'342'185,51'895'318,112'396'416,5'390'181,61'709'115,188'584'697,181'389,11'764'444,41'266'847,1'280'945,144'562,495'956'099
Europa,Belgien,Belgique,218'166,10'395,2'673'657,,,815'546,5'857,182'245,513'892,1'280'945,,5'700'703
Europe,,,,,,,,,,,,,,
"",Bosnien-,Bosnie-,21'373,,,,,,,,,,,21'373
"",Herzegowina,Herzégovine,,,,,,,,,,,,
"",Bulgarien,Bulgarie,37'318,,25,,,,,,,,,37'343
"",Dänemark,Danemark,9'907,302'619,4'646'354,,,102'505'757,150,45,,,,107'464'832
"",Deutschland,Allemagne,6'573'836,8'372'516,48'998'177,204'864,7'147'627,9'082'656,1'183,2'305'696,276'980,,38'515,83'002'050
"",Estland,Estonie,22'854,,2'765'932,,,,,15,,,,2'788'801
"",Finnland,Finlande,87'459,,14'026,,,336'390,,,2'163'502,,,2'601'377
"",Frankreich,France,658'176,3'703,8'119'621,616'016,361'363,,,499'568,3'749'843,,92'473,14'100'763
Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16,Total
Griechenland,Grèce,37'853,,,,375,,,,,,,38'228
Grossbritannien,Grande-Bretagne,128'815,982'685,42'102,1'246'614,96'896,900'000,,3'629'771,410'415,,,7'437'298
Irland,Irlande,97'816,50'427,,,,6'438'186,,,97'606,,,6'684'035
Island,Islande,11'215,,,,,,,,,,,11'215
Italien,Italie,1'413'913,2'543'389,169'526,,8'719'953,16'941,,686'059,5'750,,,13'555'531
Kosovo,Kosovo,,,5'867,,,,,,,,,5'867
Kroatien,Croatie,4'833,,16'574,,,,,,,,,21'407
Litauen,Lituanie,444'267,45'824,16'971,,,,,,,,,507'062
Luxemburg,Luxembourg,26'517,,,,,,,,,,,26'517
Malta,Malte,26'339,,,,,,,,,,,26'339
Niederlande,Pays-Bas,724'451,182'230,4'184'626,,,289'175,,36'936,,,,5'417'418
"Nordmazedonien,",Macédoine du,350,,,,,,,,,,,350
Republik,"Nord, République",,,,,,,,,,,,
"",de,,,,,,,,,,,,
Norwegen,Norvège,143'210,,1'857'138,90'300,69'157,1'433'508,,1'601'252,,,,5'194'565
"Österreich",Autriche,341'496,565,8'480'229,,,3'174,,2'735,,,,8'828'199
Polen,Pologne,58'740,1'171,143'611,,,69'893,,161'093,,,,434'508
Portugal,Portugal,13'544,,23'756,,,,,,,,,37'300
Rumänien,Roumanie,27'099,115'000,,,,34'148'861,,158'381,,,,34'449'341
Schweden,Suède,323'235,189'935,4'446'539,1'173'484,306'027,495'324,,214'910,1'272'049,,,8'421'503
Serbien,Serbie,,,,,,,,11'142,37'113,,,48'255
Slowakische,"Slovaquie,",7'873,11'328,259'749,,,4'432'449,,,,,,4'711'399
Republik,République,,,,,,,,,,,,
Slowenien,Slovénie,7'410,,,,,,,,,,,7'410
Spanien,Espagne,26'618,4'337'379,719'054,,133'179,773'911,11'073,98'951,140'860,,,6'241'025
Tschechische,"Tchèque,",925'817,82'195,2'213'678,5'286,42'934,800'000,,65'756,499'228,,,4'634'894
Republik,République,,,,,,,,,,,,
Türkei,Turquie,2'400,,,,,,,,,,,2'400
Ungarn,Hongrie,14'890,,1'338'749,,,,,136'623,247'000,,,1'737'262
Zypern,Chypre,833,,,,,,,,,,,833
"",,12'438'623,17'231'361,91'135'961,3'336'564,16'877'511,162'541'771,18'263,9'791'178,9'414'238,1'280'945,130'988,324'197'403
Kontinent,Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16,Total
Continent,,,,,,,,,,,,,,
Afrika,Botswana,Botswana,,,,,,22'843'524,,,,,,22'843'524
Afrique,,,,,,,,,,,,,,
"",Kenia,Kenya,,,,,,,,,109'311,,,109'311
"",Südafrika,Afrique du Sud,42'976,398'500,,,28'431,,,180,,,,470'087
"",Tunesien,Tunisie,,,,,,,,,5'087'631,,,5'087'631
"",,,42'976,398'500,,,28'431,22'843'524,,180,5'196'942,,,28'510'553
Amerika,Argentinien,Argentine,4'650,,900,,,,,,,,,5'550
Amérique,,,,,,,,,,,,,,
"",Bermuda,Bermudes,931,,,,,,,,,,,931
"",Brasilien,Brésil,,,,,12'248'390,,,,89'230,,,12'337'620
"",Chile,Chili,2'800,26'393,,,,3'520,,,,,,32'713
"",Kanada,Canada,463'141,10'020,101'084,,,2'165'316,,,94'127,,2'638,2'836'326
"",Mexiko,Mexique,,,,,,,,,4'478'949,,,4'478'949
"",Vereinigte Staaten,Etats-Unis,6'496'203,48'961,1'078'354,2'037'399,,714'985,465,1'968'610,14'782'113,,10'936,27'138'026
"",von Amerika,d'Amérique,,,,,,,,,,,,
"",,,6'967'725,85'374,1'180'338,2'037'399,12'248'390,2'883'821,465,1'968'610,19'444'419,,13'574,46'830'115
Asien,Bahrain,Bahrain,6'175,,2'300,,1'451'456,,,,4'029'238,,,5'489'169
Asie,,,,,,,,,,,,,,
"",Bangladesch,Bangladesh,,27'789'066,269'246,,26'149'818,,,,,,,54'208'130
"","Georgien, Republik","Géorgie,",3'960,,,,,,,,,,,3'960
"",,République,,,,,,,,,,,,
"",Hongkong,Hong-Kong,600,,,,,,,,,,,600
"",Indonesien,Indonésie,23'604,58'491,29'977,16'218,813'363,,,,,,,941'653
"",Israel,Israël,,,,,,315'581,,,,,,315'581
"",Japan,Japon,312'042,10'200,,,,,,,,,,322'242
"",Jordanien,Jordanie,11'296,,,,,,,,,,,11'296
"","Korea, Republik","Corée, République",,322'853,21'359,,,,,,,,,344'212
"",(Südkorea),(Corée du Sud),,,,,,,,,,,,
