Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 16
Belgien , Belgique,114842,31553,1558067,90972,,,,970281,,
Bosnien , Bosnie,71700,,,,,,,,,
Bulgarien , Bulgaarie,1134,,,,,,,,,
Dänemark , Danemark,51992,70720,2534802,,,430230,,,,
Deutschland , Allemagne,4665551,31099052,17369317,171740,6667126,2950649,24428,1481729,1987128,337733
Finnnland , Finlande,763699,79516,340860,,,1223600,,,10800,
Frankreich , France,393486,1482891,615458,5913819,720,282985,,12986,8684073,
Gr. Britannien , Royaume Uni,272634,47884,4166372,9147269,166773,,,135830,4260199,
Irland , Irlande,,,,,,22063503,,,,
Island , Islande,6400,,3150,,,,,,,
Italien , Italie,725905,255758,8291502,173777,2403603,,4845,,6600,
Lettland , Letonie,356419,,,,,,,,,
Luxemburg , Luxembourg,19400,,1671,,,,,,,
Niederlände , Pays-Bas,131746,1702738,592170,136467,800,,,,618801,
Norwegen , Norvège,207173,1292,166869,,,,,236307,500,
Österreich , Autriche,391052,216756,4053071,,20338405,1515888,,6939053,,6251
Polen , Pologne,5004,21402,110000,,,,,,,
Rumänien , Roumanie,,4153755,6169779,,47000,,,121000,,
Schweden , Suède,33995,1149133,1987422,643912,1671447,10717164,4483,,59382,
Slowakai , Slovaquie,10151,,,,,,,,,
Spanien , Espagne,73044,623742,53070,,1802840,,,574428,137704,378814
Tschechien , Rép. Tchèque,46137,,6757,,,,,31150,,
Türkei , Turquie,6000,,,,,,,,,
Ungarn , Hongrie,47140,18755,7000,,,,,,,
Aegypten , Egypte,877797,,319410,,,,,,,
Benin , Bénin,1700,,206,,,,,,,
Kap Verde , Cap Vert,280,,,,,,,,,
Elfenbeinküste , Côte d'Ivoire,1180,,,,,,,,,
Gabun , Gabon,5980,,916,,,,,,,
Südafrika , Afrique du Sud,18900,60775,156732,,,,,325920,,
Sudan , Soudan,4144,,,,,,,,,
Tansania , Tansanie,240,,,,,,,,,
Tunesien , Tunisie,,,,,,,,,512741,
Argentinien , Argentine,224857,,,,4337,,,,,
Barbados , Barbade,10733,,,,,,,,,
Brasilien , Brésil,,,3938,,44284,,,,,
Chile , Chili,228085,6604,,,10300,,,,,
Dom. Rep. , Rep Dom.,95690,,,,,,,,,
Ecuador , Equateur,,,,,228134,,,,,
Kanada , Canada,463060,,67640,30912,,,,,387346,
Macau , Macao,308400,,,,,,,,,
USA , Etats-Unis,3429968,38856,3842172,,89400,33929,,1556643,21822543,
Venezuela , Vénézuela,37500,,,,,,,,,
Arab. Emirate , Emirats Arabe,286300,,5365384,,31696,,,,,
Bahrein , Bahrein,,1539848,292125,,171717,,,,345195,
Hongkong , Hongkong,8400,,,,,,,,,
Israel , Israël,6000,,,,,,,,,
Japan ,Japon,16200,7155,66480,,,,,,,
Jordanien , Jordanie,72351,789150,,,,,,,248497,
Katar , Quatar,28200,,400,,,,,,,
Korea (Süd) , Corée du Sud,24300,,,,,,,,,
Kuwait , Koweït,,,25000,,,,,,,
Malaysia , Malaisie,49525,956098,1653362,20300,3381152,,,273110,,
Oman , Oman,2925,30837,496,,628459,,,,,
Philippinen , Philipinnes,503017,,,,,,,,,
Saudi Arabien , Arab. Saoudit,1900,319853,,,45931,,,,,
Singapur , Singapour,1131768,361465,3926280,,6508588,,10140,119794,,
Thailand , Thailande,11300,,,,80768,,,,95464,
Australien , Australie,8000,,,,,,,,,
