Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Argentinien,Argentine,,,,,4279648.0,,,,,,,,,,,,,,,,,
Australien,Australie,8190.0,,13103.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,19215.0,18200.0,,,101807.0,,,,,2862195.0,,,,,,,,,,,,
Belgien,Belgique,496575.0,1204.0,3410807.0,1359.0,,604178.0,8588.0,1365725.0,,,,,1947014.0,,,,,,,,,
Brasilien,Brésil,975.0,,,,,,,26425.0,,,,,,,,,,,,,,
Bulgarien,Bulgarie,4841.0,,3629.0,,,,,4866401.0,,,,,,,,,,,,,,
Chile,Chili,4315.0,,,,930170.0,11382.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,38823.0,1054612.0,13321518.0,,,59035066.0,,45465.0,,,,,,,,,,,,,,
Deutschland,Allemagne,8554638.0,13634130.0,67997491.0,262599.0,4264898.0,18729832.0,1492.0,4209472.0,,93359.0,,,,,,301066.0,,,,,,
Dominikanische Republik,République dominicaine,26296.0,,,,,,,,,,,,,,,,,,,,,
Estland,Estonie,42165.0,,9350678.0,,,,,90.0,,,,,,,,,,,,,,
Finnland,Finlande,165979.0,7560.0,355.0,,,795068.0,,,,7600664.0,,,,,,,,,,,,
Frankreich,France,1263143.0,8299.0,8666245.0,2767998.0,,,,987067.0,,3859237.0,,,,,,92760.0,,,,,,
Griechenland,Grèce,26897.0,,,,994.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,619525.0,12632.0,1325564.0,190660.0,1604654.0,,4419.0,1591648.0,,1101302.0,,,,,,,,,,,,
Hongkong,Hong-Kong,,,250.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,914783.0,,82575.0,,713598.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,,104241.0,3100988.0,,99800.0,,,,,,,,,,,,,,,,,
Irland,Irlande,8970.0,40800.0,,,,17178079.0,,,,20375.0,,,,,,,,,,,,
