Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 13,KM 16,KM 19
Belgien,Belgique,517'159,10'395,2'739'930,,,928'476,6'378,182'245,659'746,1'282'045,,
Bosnien-Herzeg.,Bosnie-Herzeg.,21'373,,,,,,,,,,,
Bulgarien,Bulgarie,37'318,,25,,,,,283,,,,
Dänemark,Danemark,11'077,493'648,4'809'791,4'019,,150'026'861,150,45,,,,
Deutschland,Allemagne,9'766'404,15'730'783,67'702'871,218'559,15'193'937,11'760'027,1'183,3'324'764,394'460,,106'231,1'576'044
Estland,Estonie,33'478,261'642,5'030'422,,,,,30,,,,
Finnland,Finlande,95'918,,15'027,,,336'390,,,2'798'397,,,
Frankreich,France,864'747,8'322,9'775'330,810'585,553'463,,,626'975,4'781'548,,102'888,
Griechenland,Grèce,58'578,,,,375,,,,,,,
Grossbritannien,Grande-Bretagne,148'930,982'685,1'331'081,1'295'484,342'058,900'000,,3'954'385,428'021,,,
Irland,Irlande,97'816,50'427,,,,6'438'186,,,101'926,,,
Island,Islande,11'215,,,,,,,,,,,
Italien,Italie,2'063'977,2'841'447,637'184,,18'598'329,22'221,,1'261'752,5'750,,,
Kosovo,Kosovo,,,5'867,,,,,,,,,
Kroatien,Croatie,5'947,,38'440,,,,,,,,,
Lettland,Lettonie,10'877,,,,,,,,,,,
Litauen,Lituanie,445'774,51'841,2'663'097,,,,,,,,,
Luxemburg,Luxembourg,90'324,,,,,,,,,,,
Malta,Malte,26'339,,,,,,,,,,,
Niederlande,Pays-Bas,653'775,211'223,2'564'077,1'408'215,,384'441,,36'906,,,,
Nordmazedonien,Macédoine du Nord,350,,,,,,,,,,,
Norwegen,Norvège,158'340,,4'921'037,285'239,73'899,1'461'378,,1'601'252,,,,
Österreich,Autriche,446'736,565,12'467'596,1'963,,56'382,,2'735,,,,
Polen,Pologne,212'045,1'171,162'954,,,69'893,,240'389,,,,
Portugal,Portugal,13'848,,160'662,,,25'274,,,,,,
Rumänien,Roumanie,33'006,115'000,,,,111'492'051,,158'381,,,,
Schweden,Suède,454'498,227'204,6'376'932,1'751'252,650'113,1'184'486,,440'410,2'264'438,,,
Serbien,Serbie,18'608,,,,,,,543'598,37'113,,,
Slowakei,Slovaquie,50'277,11'328,397'075,,,6'051'103,,25'200,,,,
Slowenien,Slovénie,15'801,,,,,,,,,,,
Spanien,Espagne,27'603,4'517'958,1'679'054,,195'915,776'990,11'073,98'951,218'636,,,
Tschechische Rep.,"Tchèque, Rép.",1'066'564,105'640,2'611'245,5'286,42'954,800'000,,65'756,1'150'558,,,
Türkei,Turquie,2'400,,,,,,,,,,,
Ungarn,Hongrie,17'274,,1'672'706,,,,,136'623,247'000,,,
Vatikan,Vatican,,,13'489,,,,,,,,,
Zypern,Chypre,833,,,,,,,,,,,
Botswana,Botswana,,,,,,4'432'448,,,,,,
Kenia,Kenya,,,2'450,,,,,,109'311,,,
Marokko,Maroc,107'200,,,,,,,,,,,
Südafrika,Afrique du Sud,42'976,399'562,,,28'431,,,180,,,,
Tunesien,Tunisie,,,,,,,,,5'102'827,,,
Argentinien,Argentine,7'650,,900,,,,,,,,,
Bermuda,Bermudes,931,,,,,,,,,,,
Brasilien,Brésil,1'866,,,,12'281'960,,,,267'690,,,
Chile,Chili,2'957,26'393,,,,3'520,,,,,,
Kanada,Canada,489'711,13'980,137'464,,,2'168'860,,,209'755,,16'050,
Mexiko,Mexique,,,,,,,,,4'478'949,,,
U.S.A,U.S.A,9'390'986,54'164,1'500'556,2'037'399,6'000,714'985,465,2'779'231,22'049'421,,11'417,
Arabische Emirate,Emirats arabes,1'037'411,,,,,,,,,,,
Bahrain,Bahreïn,6'175,8'708,2'300,,1'494'746,,,,4'029'238,,,
Bangladesch,Bangladesh,,27'789'066,1'268'146,,26'149'818,,,,,,,
Brunei,Brunei,,,639'900,,,,,,,,,
Georgien,Géorgie,3'960,,,,,,,,,,,
Hongkong,Hongkong,600,,350,,,,,,,,,
Indien,Inde,,,221,,,,,,,,,
Indonesien,Indonésie,23'604,105'236,29'977,16'218,2'321'166,,,,,,,
Israel,Israël,,,,,,961'950,,,,,,
Japan,Japon,445'108,10'200,12'847,,,,,,,,,
Jordanien,Jordanie,18'893,,,,,,,,,,,
Katar,Qatar,34'529,,460,,,,,,,,,
Korea (Süd),Corée (Sud),2'304,559'133,21'359,,,,,,,,,
Kuwait,Koweït,21'430,,,,,,,,,,,
Macau,Macao,8'977,,50'500,,,,,,,,,
Malaysia,Malaisie,,,1'960,,2'512'131,,,,4'870'352,,,
Oman,Oman,23'327,6'400'348,2'438'053,,408'004,,,,,,,
Pakistan,Pakistan,,9'712,12'949'920,,887'460,,,,,,,
Saudi-Arabien,Arabie Saoudite,,38'928,,,2'731'279,,,,,,,
Singapur,Singapour,392'138,1'365,4'748'687,,,,162'661,4'476,,,,
Thailand,Thaïlande,,114'025,,,73'472,,,,189'225,,,
Australien,Australie,11'929,,19'107'885,,,,,,,,,
Neuseeland,Nouvelle-Zélande,33'683,,,,,,,,,,,
