Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16
Belgien,Belgique,547516,,2472846,,,283398,1335,369588,69778,,
Bulgarien,Bulgarie,11540,,,,,,,1591399,,,
Dänemark,Danemark,558,82593,978,120,,80436442,,,,,
Deutschland,Allemagne,3429014,9348746,25981439,10874,3326053,5650382,645,2486590,166448,2500,338747
Estland,Estonie,4228,242250,,,,,,,,,
Finnland,Finlande,34517,,,,,,,,1085103,,
Frankreich (inkl. Monaco),France (comprend Monaco),391004,3000,4802527,1556189,,,,737114,1378612,,150869
Griechenland,Grèce,,,,,28006,,18345,,,,
Grossbritannien,Grande-Bretagne,61513,,4350136,1474340,85999,,5548,1782932,21980,2000,
Irland,Irlande,185,,,,,8100618,,,,,
Island,Islande,13024,,,,,,,,,,
Italien,Italie,580752,2858894,1226481,,8398759,,,1295173,,,
Kroatien,Croatie,6041,,958,,,,,,,,
Lettland,Lettonie,,,1545240,,,,,,,,
Litauen,Lituanie,36138,,4145592,,,,,,,,
Luxemburg,Luxembourg,24075,,99357,,,,,,,,
Malta,Malte,,,31471,,,,,,,,
Niederlande,Pays-Bas,51420,178539,,,29500,209970,,26882,,,
Norwegen,Norvège,65144,770000,1542865,1098185,50303,162731,,470940,,,
Österreich,Autriche,610815,17998,4659902,,,9283,,,,,
Polen,Pologne,41011,,,,,,,28444,,,
Portugal,Portugal,,,9397,,,,,,,,
Rumänien,Roumanie,46837,330000,,,,57596766,,6236,,,
Schweden,Suède,187794,81578,3492823,1189165,719279,,,333084,1142518,,
Serbien,Serbie,,,,,,,,,100,,
Slowakische Republik,"Slovaquie, République",994,677000,107760,,,1719054,,203,,,
Slowenien,Slovénie,30592,,252,,,,,,,,
Spanien,Espagne,52,1100894,3885919,153751,54874,8229,,23052,49813,,
Tschechische Republik,"Tchèque, République",487505,39888,237834,9710,23805,,,123311,218735,,
Ungarn,Hongrie,2186,,2511369,,,,,107738,,,
Zypern,Chypre,803,,,,,,,,,,
Algerien,Algérie,,,1320228,,,,,,,,
Botswana,Botswana,,,,,,64475996,,,,,
Mali,Mali,,,2811,,,,,,,,
Südafrika,Afrique du Sud,,8000,94640,,2689,,,430330,,,
Brasilien,Brésil,,,,,18002370,,,,,,
Chile,Chili,,252218,,,,,,,,,
Kanada,Canada,310455,,47040,,,,,,19787,,9634
Vereinigte Staaten von Amerika,Etats-Unis d'Amérique,6833024,10463,1429785,,,,,1683917,7316204,,5914
Bahrain,Bahrain,10879,,13450,,1071403,,,,1691403,,
Indien,Inde,,9209,593,,,,,,,,
Indonesien,Indonésie,,50571309,,,60365894,,,,,,
Israel,Israël,,,,,,632118,,,,,
Japan,Japon,3317,,201517,,,,,,,,
"Korea, Republik (Südkorea)","Corée, République (Corée du Sud)",11475,,26273,,,,,,,,
Kuwait,Koweït,5180,,,,,,,,,,
Macao,Macao,25377,,,,,,,,,,
Malaysia,Malaisie,,,4354,,463478,,2157,,1602693,,
Oman,Oman,,5286872,,,,,,,,,
Pakistan,Pakistan,,240948,,,250813,,,,,,
Qatar,Qatar,1649,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,98046,,,1897208,,,,,,
Singapur,Singapour,78348,,2680,,,,,5968,,,
Thailand,Thaïlande,,3200,,,210979,,,,,,
Vereinigte Arabische Emirate,Emirats Arabes Unis,5000,1000,,,,,,,,,
Australien,Australie,2782,,4336249,,,,,,400,,
Neuseeland,Nouvelle-Zélande,11683,,,,,,,,,,
