Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM11,KM13,KM16
Andorra,Andorre,3454,,,,,,,,,,,
Belgien,Belgique,755917,,3021874,,,582246,1335,542083,69778,,,
Bulgarien,Bulgarie,12120,,,,,3000000,,1864295,,,,
Dänemark,Danemark,8530,111725,978,6003,,134398156,,,,,,
Deutschland,Allemagne,5590391,11419461,41542335,141749,7403149,9080895,10220,3682711,375770,19880,2500,389511
Estland,Estonie,21695,242250,,,,,,,,,,
Finnland,Finlande,42923,,8930,,,,,,2060373,,,
Frankreich (mit Monaco),France (comprend Monaco),655331,3000,7976552,2931235,,,,802121,2016972,,,150869
Griechenland,Grèce,,,,,28006,,18345,,,,,
Grossbritannien,Grande-Bretagne,138154,1134490,5639536,1474340,500124,,8290,3961173,94435,,2000,
Irland,Irlande,2859,,,,,8551526,,,,,,
Island,Islande,38909,,,,,,,,,,,
Italien,Italie,1042941,3191759,2660378,,11890795,,,1814609,,,,
Kroatien,Croatie,19674,,958,,,,,,,,,
Lettland,Lettonie,,,2522464,,,,,,,,,
Litauen,Lituanie,549567,,4156859,,,,,,,,,
Luxemburg,Luxembourg,43181,,99357,,,,,,,,,
Malta,Malte,,,31471,,,,,,,,,
Niederlande,Pays-Bas,56373,367614,,349242,52526,209970,,26882,,,,
Norwegen,Norvège,94789,910000,6678773,1760920,92303,162731,,1243740,,,,
Österreich,Autriche,1143465,17998,5878556,5790,,9283,,2002,,,,
Polen,Pologne,124994,,22456,,,,,51122,,,,
Portugal,Portugal,8719,,9397,,,,,,,,,
Rumänien,Roumanie,52119,330000,9634,,,57607103,,6236,,,,
Schweden,Suède,280208,81578,9483204,1789345,1278434,,,549184,1658055,,,
Serbien,Serbie,,,,,,,,,100,,,
Slowakische Republik,"Slovaquie, République",994,716116,539012,,,1719054,,203,,,,
Slowenien,Slovénie,64431,,252,,,,,,,,,
Spanien,Espagne,599,17621739,3885919,153751,134874,8229,,72171,62773,,,
Tschechische Republik,"Tchèque, République",673316,54156,262880,9710,63049,,,123311,218735,,,
Türkei,Turquie,21850,,,,,,,,,,,
Ungarn,Hongrie,2186,,5176849,,,,,159362,,,,
Vatikan,Vatican,,,4800,,,,,,,,,
Zypern,Chypre,803,,,,,,,,,,,
Algerien,Algérie,,,1419138,,,,,,,,,
Botswana,Botswana,,,,,,69958642,,,,,,
Mali,Mali,,,2811,,,,,,,,,
Südafrika,Afrique du Sud,,20169,94640,,10870,,,430330,,12380,,
Brasilien,Brésil,,,,,18002370,,,,17700,,,
Chile,Chili,,727923,,,,,,,,,,
Kanada,Canada,643886,270,56832,,,115454,,,19787,,,9634
Vereinigte Staaten von Amerika,Etats-Unis d'Amérique,10629588,19639,2250478,,17412,,,2494227,13074407,,,5914
Bahrain,Bahrain,13744,235956,13450,,1263718,,,,2290121,,,
Indien,Inde,,9209,593,,,,,,,,,
Indonesien,Indonésie,,50641594,111250,,60389734,,,,,,,
Israel,Israël,,,,,,1008608,,,,,,
Japan,Japon,4961,,201517,,,,,,,,,
"Korea, Republik (Südkorea)","Corée, République (Corée du Sud)",11475,763702,26273,,21514,,,,,,,
Kuwait,Koweït,15280,,,,,,,,,,,
Macao,Macao,25466,,,,,,,,,,,
Malaysia,Malaisie,,,4354,,463478,,2157,,2606504,,,
Oman,Oman,,5286872,18667904,,5072,,,,,,,
Pakistan,Pakistan,,240948,,,250813,,,,,,,
Qatar,Qatar,1649,1511,,,105690,,,,,,,
Saudi-Arabien,Arabie Saoudite,,277701,,,3517817,,,,,,,
Singapur,Singapour,78348,,2880,,,,,5968,,,,
Thailand,Thaïlande,,3200,,,282379,,,,,,,
Vereinigte Arabische Emirate,Emirats Arabes Unis,109410,1000,,,,,,,,,,
Australien,Australie,8259,1126,6084323,,,,,,400,,6962,
Neuseeland,Nouvelle-Zélande,44238,,,,,,,,,,,
